stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,480.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0,0,0,0,0
  5-6,34.05,562.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.63,0,0,0,0,0,21.79,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,29.34,0,35.46,0,0,0,64.24,0,0,0,0,0,27.72,0,0,0,0,0,0,0,0,0,0,0,784.77,20.41,0,0,227.45,0,0,13.96,0,0,0,0,0,0,0,0,0
 10-12,0,28.95,0,19.01,0,19.9,0,87.88,0,0,0,0,0,22.31,0,0,0,0,0,0,0,0,0,0,0,752.75,38.32,0,0,216.68,0,0,3.78,8.61,43.94,5.61,8.81,0,0,0,0,0
 14-21,0,0,0,0.8,30.1,9.22,0,14.71,0,0,0,4.23,2.38,0,0,0,0,0,0,0,0,18.1,0,0,7.21,160.28,2.58,1.57,1.67,1.71,0,2.58,1.53,32.41,1.05,29.42,58.63,0,0,0,0,0
 24-34,0,0,0,1.34,10.94,8.95,0,18.69,0,0,0,2.55,0,0,1.65,0,1.98,0.92,1.07,1.8,0,31.33,0,0,2.25,276.6,0,0.67,1.23,0,0,0.61,0,0,1.04,7.7,46.21,0,0,3.2,0,0
 36-46,0,0,0,0,1.61,0,0,36,0,0,0,5.27,0.61,0,0.65,0,0,0,0,0,0,16.12,1.16,0,4,242.64,0,0.59,3.19,0,0,8.31,0,0,0,0,33.23,0,0,9.55,0,0
 48-58,0,0,0,0,0.38,0,0,79.93,0,1.45,0,42.86,0.39,0,0.4,0,1.92,0,1.28,0,0,21.75,1.05,0.4,4.08,202.54,2.82,0,1.35,0,0,2.73,0,0,0,0,35.63,0,0,3.37,0,1.61
 60-70,0,0,0,0,13.15,0.67,0,116.6,0.64,0.94,0,27.68,6.76,0,0,0,1.1,0,0,0.81,3.27,17.3,0,0.89,2.99,160.66,0.66,1.08,0,0,0.63,5.9,0,0,0,0,23.82,0,0,1.15,0,0
 72-82,0,0,0.69,0,3.79,0,0,105.08,0,5.93,2.09,20.08,0.6,0,0,0.85,1.35,0,1.9,0,1.18,30.34,0,0,5.49,101.67,0.91,0.53,1.37,0,0,8.86,0,0,0,0,12.34,0.82,0.5,3.88,0.93,4.1
 84-94,0,0,0.98,0,4.93,0,2.09,51.55,0,0.63,1.75,12.89,5.31,0,0,1.47,3.2,0,0.66,0,0,32.81,1.27,5.63,7.06,74.88,1.11,0,0,0,0,14.56,0,0,0,0,0,0,0,3.01,1.73,0
 96-106,0,0,2.24,0,12.26,0.6,0,84.38,0,0,1.02,10.34,2.59,0,0,4.12,4.65,1.46,2.57,0,0.65,41.93,8.98,3.41,6.92,56.66,0.81,1.08,1.01,0,3.11,12.9,0,0,0.7,0,0,1.34,1.24,6.73,0,0
108-118,0,0,0,0.74,11.85,0,0,46.88,0,2.75,1.9,20.85,1.34,0,0,1.55,4.35,0.91,0.47,3.58,1.1,36.77,1.94,0,5.45,80.75,0,1.8,0.98,0,4.74,21.9,0,0,0,0,0.7,0,0,13.98,1.05,0
120,0,0,0,0,20.07,2.54,0,70.24,0,4.1,2.66,34.97,0,0,0,1.34,0,0,2.11,0,0,38.79,0,0,9.98,68.38,1.57,0,6.61,0,0,19.21,0,0,0,0,14.86,0,0,0,4.8,0
