stage,blastomeres,epidermis,exocrine_pancreas,eye,glial,heart,mesenchyme,neural,notochord,otic,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,6.96,0,0,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,2.16,0,0,0,0,0,1.02,0,0,0
 24-34,0,0,0,0,0,0,0,3.86,0.97,0,0,0,0,0,0,0,1.83
 36-46,0,0.67,0,0,0,0,3.8,8.09,0,1.13,0,0,0,0,0,0,0
 48-58,0,0,0,1.41,0.94,0,0,8.07,0,0,0,0,0,0,4.83,0,0
 60-70,0,0,0,7.24,8.94,5.59,0.9,1.29,0,0,0,4.5,0,0,0,0,0
 72-82,0,0.71,0,3.97,0,0,3.04,7.31,0,0,0,0,0,0,0,0,1.32
 84-94,0,1.86,0,0,0,0,1.84,6.01,0,0,0,0,0,0,0,0.77,1.8
 96-106,0,0,5.91,0,2.21,0,3.25,3.97,0,0,0,0,0,0,0,0,0
108-118,0,0,0,5.24,6.82,0,0,2.6,0,0,0,0,0,0,0,0,0
120,0,0,0,2.33,0,0,0,26.58,0,0,14.47,0,0,0,0,0,0
