stage,axial,blastomeres,mesenchyme,neural,paraxial_mesoderm
  3-4,0,51.01,0,0,0
  5-6,6.8,0,0,0,0
  7-9,0,0,0,4.51,7.33
 10-12,0,0,0,7.11,0
 24-34,0,0,0.78,2.66,0
 48-58,0,0,0,0.42,0
