stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,15.1,428.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.07,0,0,0,0,0,0,0,0,0,0
  5-6,9.36,73.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.32,0,0,0,0,0,279.63,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,6.23,0,4.74,0,0,0,26.49,0,0,0,0,0,50.56,0,0,0,0,0,0,0,0,0,0,0,184.83,11.78,0,0,35.54,0,42.1,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.52,0,0,0,0,0,0,0,0,0,16.13,0,0,0,0,0,0,0,0,0,0,0,583.25,12.21,0,0,28.01,0,20.59,13.4,14.26,7.98,0,0,0,0,0,0,0
 14-21,1.39,0,4.15,5.53,313.58,2.63,0,13.22,0,0,0,0,0,0.92,0,0,22.4,0,0,0,7.7,2.41,0.95,0,1.03,38.32,0.96,0,1.99,0,0,35.95,0,7.24,1.08,1.06,6.18,2.91,0,0,1.82,11.74
 24-34,0,0,1.68,0.74,22.27,3.3,0,0.77,0,6.84,0,0,0.92,0,0,0,30.02,0,0,2.31,11.83,3.37,3.2,0,0,34.63,0,1.81,0,0,0,8.34,0,0,2.59,1.42,3.18,11.61,0,0,12.09,6.09
 36-46,0,0,0.73,0,28.69,9.81,0,13.47,3.01,5.32,1.16,6.25,0,0,0.89,0,46.34,3.58,0,4.65,9.95,1.72,2.39,0,0,63.12,0,1.79,3.8,0,0,17.7,0,0,2.56,12.69,0,8.08,0,0,1.52,2.7
 48-58,0,0,0.87,0,22.97,8.42,0,6.21,0,4.7,0.92,37.38,0,0.78,0.58,0,7.09,7.88,0,2.28,23.88,6.86,0,0,4.08,46.93,0.44,0,2.03,0,0,9.13,0,0,4.32,1.46,0,13.11,0,0,3.19,7.55
 60-70,0,0,0.7,0,49.21,0.71,0,23.82,0.89,2.05,0,17.94,1.64,0,3,1.97,41.99,11.86,0,2.34,3.16,15.92,2.24,0,0,44.59,22.47,2.27,4.94,0,0,15.83,0,0,0,4.48,0,8.26,9.1,0,5.55,13.28
 72-82,0,0,3.97,0,51.19,21.75,0,32.33,1.12,5.57,1.04,33.09,6.14,0,8.69,1.06,8.33,7.89,0.71,0,12.26,10.48,0.51,2.6,1.46,60.74,0.5,0.49,3.48,0,0,24.87,0,0,2.09,2.68,0,2.63,11.45,0,9.92,1.07
 84-94,0.62,0,2.56,0,92.42,21.08,0,55.21,0,10.1,0,33.49,22.7,0.99,0,3.1,32.69,11.72,0.9,1.28,15.85,35.26,4.08,0,1.34,33.68,0,4.18,7.31,0,2.3,77.69,0,0,10.78,0,0,0,21.59,0,6.52,9.47
 96-106,0,0,1.72,0,85.83,26.58,1.93,35.55,0,6.09,6.15,44.84,44.97,0,1.02,22.68,53.77,4.11,3.14,15.79,4.99,33.01,5.63,0,2.89,28.13,0.62,3.79,18.59,0,0,109.44,0,0,6.58,0.68,0,14,17.83,2.21,8.56,8.82
108-118,0,0,0,0,159.33,6.53,3.36,30.88,2.39,8.86,1.75,35.9,66.26,0,0.56,35.36,51.77,25.4,2.86,15.33,24.39,25.3,14.23,4.21,1.95,53.63,0,0.94,18.37,0,2.92,109.44,0,0,11.57,0.41,0,7.08,32.34,0.92,4.3,15.73
120,0,0,2.96,0,180.02,80.98,0,14.64,2.14,24.5,0,36.69,72.71,0,0,32.79,31.75,0,0,21.76,0,29.87,0,0,0,16.63,3.6,9.67,9.07,0,0,70.58,0,0,5.22,0,0,9.59,23.9,0,3.52,1.64
