stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0
  7-9,0,0,20.01,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64,0,32.01,0,0,0,0,0,0
 10-12,0,0,99.13,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.03,0,0,0,4.59,0,19.72,0,0,0,0,0,0
 14-21,0,0,9.04,38.95,0,0,0,0,0,3.99,6.72,0,4.33,0,0,1.15,0,0.97,0,0,18.74,3.82,0,0,2.55,0,232.11,0,6.24,0,0,0,0
 24-34,0,0,11.21,54.72,0.66,2.7,0,1.37,0,0.67,2.71,0,11.83,1.32,4.08,0.68,1.56,18.03,0,0.83,39.9,0,2.19,0.74,0,0,567.87,0,4.25,0,0,0,0
 36-46,0,0,3.42,23.64,0,2.12,0,3.5,0,0,0,0,5.36,0,1.18,0,4.56,33.68,0,0,39.85,0,7.81,0,0,0,652.89,0,3.54,0,0,0,0.7
 48-58,0,0,0,16.97,0,9.13,0,9.01,2.96,5.69,5.67,0,2.5,0,1.96,0,3.57,19.27,0,0.85,29.46,0,3.63,2.43,0,0,462.44,0,5.72,0,0,0,8.78
 60-70,0,0,0,10.97,0.81,8.89,0,1.25,0,2.76,5.24,0,19.68,0,1.61,0,1.93,13.87,4.48,0,7.83,0,2.62,0.71,0,0,305.63,0,4.18,1.1,0,0,7.46
 72-82,0,0,0,35.14,0,6.22,0,5.01,1.06,25.05,0,0,1.78,1.75,14.32,0,5.03,36.58,0,0.69,30.43,0,3.76,2.89,0,0,165.28,0,4.07,6.38,3.82,0,0
 84-94,0,2.82,0,65.41,0,3.58,0,7.56,0.89,34.52,0,1.16,22.4,0,7.88,0,4.84,37.01,0,0,21.31,0,5.8,5.59,0,0,475.85,1.35,0,2.27,0,0,0
 96-106,0,1.53,0,111.76,17.91,22.23,0,8.99,3.12,98.85,0,0.77,7.04,0,28,0,6.98,35.62,0,0,28.94,0.57,8.5,6.78,0,0,342.26,0,0,15.36,0,0,3
108-118,0,0,0,105.95,6.84,20.86,0,7.54,0,103,0,0.82,8.63,0,25.05,0,8.18,22.99,0,0,27.75,0,6.78,4.63,0,1.63,310.97,0,0,15.1,0,1.52,0.65
120,0,0,0,133.09,0,16.37,1.61,12.74,0,86.01,0,0,10.03,0,27.63,0,2.99,16.56,0,0,12.1,0,17.54,3.28,0,0,209.43,0,0,10.84,0,0,0
