stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,37.96,4.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,2.88,1.07,0,0,0,0,0,1.72,0,1.02,1.5,0,6.41,0,0,0,0,0,1.89,0,0.85,3.15,0,0,0,0,0.98,1.15,0,0,8.75,4.05,0,0,1.21,0,0
 24-34,0,0,1.54,0,0,0,0,0,0,0,0,0.63,0,0,0,20.91,0,0,0,0,0,39.54,0,2.07,12.79,0,5.92,0,0,10.46,0,3.84,0,0.63,1.84,0,0,4.41,0,0
 36-46,0,0,0,1.51,0,0,2.16,1.42,0,0,0.98,0,4.4,0,0,9.49,0,0,0,1.12,10.58,40.9,0,0.94,37.5,2.6,0,0,0,38.71,0,0,0,0,11.33,0,0,2.81,0,0
 48-58,0,0,0,2.35,0,0,6.55,2.32,0,0.55,6.18,0.38,0,1.37,0,27.17,0,0,0,1.57,5.85,72.06,0,0.95,38.57,0,2.48,0,0,28.63,0,0.53,0.46,0,13.11,0,0,4.17,0,1.5
 60-70,0,0.7,0,7.96,0,0,11.96,0,0,4.25,12.79,0.77,0,0,0.64,9.14,0,0,0,6.77,5.99,40.11,0,5.7,37.18,0,2.13,0,0,18.27,0,0.59,4.72,0,17.24,0,0,2.86,0,4.38
 72-82,0,1.69,0,8.61,0.64,0,50.85,2.53,0.81,0,23.56,16.76,0.5,5.31,2.44,2.52,1.28,1.43,0,0,45.87,51.35,0,1.56,70.43,1.13,14.4,1.07,0,17.1,0,0,0,0,8.42,1.34,0.81,6.1,0,0
 84-94,0,6.72,0,9.95,0,0,53.74,0,0,2.18,15.67,32.15,0,0,2.04,8.31,3.74,1.23,10.58,1.28,33.88,81.49,0.92,3.11,32.92,0.89,1.04,1.85,0,73.23,0,1.81,0,0,9.16,0.81,0,1.54,0,1.89
 96-106,0,1.11,0,11.97,4.79,0.72,58.67,0,0.73,1.11,37.81,40.52,0,0,5.26,5.9,0.87,5.91,3.35,1.78,42.65,74.62,0,7.57,73.8,0,2.26,2.21,0,39.76,0,0.57,0,0,14.85,0,0,24.37,1.98,0
108-118,0,0,0,24.61,0,3.93,47.68,2.17,1.47,0,42.91,57.54,0,0,5.81,2.12,3.18,1.51,0.45,5.3,23.15,95.92,1.7,7.99,45.65,0.46,4.4,4.27,0,28.7,0,1.43,5.2,0,8.48,2.39,2.7,5.89,3.54,1.77
120,0,5.36,0,12.32,0,0,53.35,10.65,0,0,61.47,38.5,0,1.15,14.66,2.99,4.85,4.83,0,0,24.3,80.98,0,0,46.31,0,11.48,5.08,0,53.75,0,0,1.8,0,10.6,1.83,0,13.28,0,6.12
