stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,129.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0
  5-6,49.86,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,19.02,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.73,0,0,0,0,25.45,0,4.52,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,34.65,0,0,0,5.9,0,0,0
 14-21,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,65.25,1.25,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,110.53,16.87,0,0
 36-46,0,0,0,0,0.61,0,0,0.61,0,0,0,0,0,12.41,0,0,2.28,65.44,1.01,0.99,0
 48-58,0,0,0.55,0,0.67,0,0,0.92,0,0,0.86,0,0,3.41,0,0,0,73.64,0.61,0,0
 60-70,0,0,0,0,1.58,0,0.61,3.9,0,0,1.96,0,0,11.01,0,0,0,64.6,1.03,0,0
 72-82,0,0,0,0.82,2.9,0,0,23.38,0,0,1.89,0,0,24.49,0,0,0,81.05,0,0,0
 84-94,0,2.24,0,0,2.61,0,0,27.12,0,0,2.34,0,0,4.48,0,0,0.59,174.05,0,0,0
 96-106,0,0,1,2.92,13.53,2.35,0.72,199.04,0,1.19,5.43,0,0,51.18,0,0,0.91,192.7,0,0.6,3
108-118,0,0,2.54,1.13,12.66,0,3.31,335.74,0,1.94,6.66,2.77,1.53,48.19,1.25,0,0.42,258.54,0,0,0
120,0,0,3.69,1.71,3.77,1.93,0,174.76,0,7.86,0,0,0,72.75,0,0,0,199.6,0,0,0
