stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,37.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,24.09,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0,91.62,18.96,0,0,5.34,0,0,0,0,0
 14-21,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0.87,6.98,0,0,1.01,0,6.63,0,0,0,0
 24-34,0,0,0.84,0.67,0,0,0,0,0,0,0,0,0,1.06,0,0,18.09,0,0,0,1.45,4.56,0,0.72,0,0
 36-46,0,0,0,0,0,0,0,1.5,0,0.58,0,0,0.99,8.87,0,1.74,45.65,0,0.92,0,0,7.16,0,0,0,0
 48-58,0,0,0.51,0,0,4.89,0.54,5.14,0,0,0,0,0.59,3.56,0,0,40.1,0,0,0,0,3.72,0,0,0,0
 60-70,0,0,0,0,0,18.19,0,1.16,0.92,0,0,0.67,0,7.44,0.7,1.13,3.71,0,0,0,0,1.13,0,0,0,0
 72-82,0,0,0.79,0,0,3.53,0,5.02,0,0,2.08,0,0,7.66,0,1.85,24.14,0,0,0,0,2.01,0,0,0,0
 84-94,0,0,0,0,0,12.28,0,3.15,0,0,1.42,0,0,2.33,0,0.78,15.57,0,1.01,0,0,0,0,1.75,0,0
 96-106,0,0,2.68,0,0,1.65,0,0,0,0,0,0,0,3.42,0,0,16.66,0,0,0,0,0,5.3,0,0,0
108-118,0,0,0.51,5.3,0.6,9.7,0,1.87,0,0,2.36,0,0,4.08,0,0.98,18.04,0,0,0,0,0,0,0,0.68,0.52
120,0,0,3.32,0,0,5.5,0,4.04,0,0,0,2.11,0,7.5,0,0,23.1,0,1.45,0,0,0,0,0,0,0
