stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,147.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.1,0,0,0,0,0,26.76,0,0,12.1,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,45.34,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.49,0,0,0,0,0,0,1.11,2.95,0,0,0,0.81,19.23,0,17.58,0,0,0,0
 24-34,0,0,0,0.81,0,3.38,0,0,0,0,3.56,0,13.43,42.13,1.97,0,0,0,11.77,0.62,19.79,0,0,0,0
 36-46,0,0,0,0,0.65,0,0,0,0,0,0,0,21.78,57.72,1.1,0,0,0,44.45,0,34.11,0,0,0,0
 48-58,0,0,0,1.31,0,2.52,0,0,0,0.4,0,0,13.42,51.64,0.64,0,0,0,5.05,0,37.27,0,0.58,0,0
 60-70,0,0,0,10.8,0.87,8.3,0,0,0,1.24,0,0,8.68,51.29,3.49,0,0,0,13.79,0,64.52,0,0,0,0
 72-82,0,0,0,45.2,0,16.46,0,0,0,3.19,0,0,12.17,86.26,5.95,0,0,0,1.15,0,59.69,1.16,0,0,0
 84-94,0,0,0,31.96,0,21.96,0,1.56,0,2.47,0,0,4.97,83.23,11.26,0,0,0,6.24,0,7.21,0,0,0,0
 96-106,0,3.29,0,76.7,0,34.75,0,0,10.79,4.92,0,0,14.82,103.94,18.21,0,0.59,0,2.98,0,14.77,0,0,2.17,8.85
108-118,0,0,0.46,43.83,0,27.53,0,0.43,0,2.86,3.25,0.49,50.03,94.99,22.99,0,0,0,5.45,0,11.58,0,0,0,0
120,0,0,0,43.79,0,15.9,0,0,0,4.32,7.12,0,25.31,48.74,14.05,0,0,0,5.11,0,33.67,0,0,0,0
