stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,116.94,0,0,0,0,0,0,0,0,0,0,0,0,22.71,0,0,0,0,0,0
  5-6,136.46,0,0,0,0,0,7.31,0,0,0,0,7.06,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.83,0,6.59,0,0,0,0,0,0
 14-21,0,1.69,0,0,0,0,0,0,0,1.34,0.8,3.56,0,2.42,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.65,0.66,1.43,0,4.87,0,0,1.49,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.66,0,4.07,0,1.04,2.65,0,0,0
 48-58,0,0,0.82,0,0,0,0.93,0,0,0,0,4.7,0,0.79,0,0,0,0,0,0
 60-70,0,0,0,0,0.87,0,0,0,0,0,0,0.96,0,6.36,4.67,0,0,0,0,0
 72-82,0,0,0.66,0,2.69,0,0,0,0,0,0,0.72,0,6.34,0,0,0,0,0,0
 84-94,0,0.96,3.43,0,1.23,0,1.95,0,0,0,0,2.48,0,15.95,1.35,0,2.37,0,0,0
 96-106,0,2.22,1.7,2.37,4.27,0.74,0,0.62,0,0,0,0,0,6.69,0,0,0,0,0,1.69
108-118,0,0.44,0,0.96,0,0,0,0,0,0.43,0,0,1.89,7.94,0,0,0,1.13,0.5,5.57
120,0,1.22,0,0,0,5.78,0,0,3.07,0,0,0,0,10.25,0,0,0,0,0,0
