stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,49.61,2006.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.12,0,0,0,0,0,0,0,0,0,0
  5-6,131.92,2386.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.16,25.98,0,0,74.59,42.08,0,0,0,0,0,0,0,0,0,0
  7-9,92.21,133.19,142.75,0,0,0,316.45,0,0,0,0,0,90.79,0,0,0,0,0,0,0,0,0,0,0,2571.61,44.85,0,0,1193.09,19.37,15.42,0,0,0,0,0,0,0,0,0
 10-12,0,89.57,185.61,0,30.4,0,311.82,0,0,0,0,0,52.98,0,0,0,0,0,0,0,0,0,0,0,2977,3.39,0,0,1010.95,3.1,3.78,4.56,146.22,0,5.74,4.33,0,0,0,0
 14-21,0,0.93,12.4,177.45,35.86,0,73.22,0,0,0,27.4,3.8,4.04,0,3.24,2.97,0,0,0,0,88.64,0,0,102.27,949.33,54.07,12.39,14.09,45.49,55.33,0,126.67,17.51,0.81,112.85,357.75,0,0,9.31,0
 24-34,0,0,5.28,54.34,16.77,0,255.66,0,0,0,34.27,0,0,2.4,11.4,0,11.63,2.68,2.56,2.02,199.35,1.25,1.39,100.78,2197.86,28.94,25.33,23.53,0,97.21,0,0,7.24,0,8.61,547.61,0,0,38.23,19.18
 36-46,0,0,0,21.06,7.39,0,409.04,0,0.71,2.09,40.25,1.58,0,1.87,24.92,0,13.22,0.57,0,0,164.01,0,4.85,51.82,1203.32,13.46,6.57,3.42,0,73.2,0,0,0.92,0,0,314.01,0,0,5.92,6.13
 48-58,0,0,0,27.59,12.44,0,665.49,0,0,0.4,35.52,3.89,0,2.04,10.73,0.88,9.42,0,0,0,188.08,1.67,10.48,30.44,805.49,6.4,2.37,3.78,0,11.53,0,3.76,0.51,0,0,123.88,0,0,19.95,11.1
 60-70,0,0,0,21.27,0,0,517.98,0,0,0,40.49,6.64,0,0,11.29,0.86,3.22,0.73,0,0,123.95,0,12.08,27.91,414.53,7.12,1,11.74,0,6.91,0,0,2.48,0,0,15.53,0.84,0,5.18,0
 72-82,0,0,0,15.55,0.55,0,162.77,0,0,0,41.03,10.32,0,3.05,14.83,1.87,3.41,0.68,0.78,0,146.15,0,4.28,12.31,220.57,2.68,0.64,2.46,0,5.53,0,0,0.77,0,0,5.71,0,1.26,13.71,0
 84-94,0,0,0,28.83,2.09,0,148.31,0,4.48,0,29.05,12.24,0,0.8,18.5,0,8.97,3.71,7.84,0,93.26,0,6.1,19.35,202.97,9.77,0,6.39,0,8.36,0,0,2.66,0,0,1.98,2.66,0,23.56,0
 96-106,0,0,0,20.12,0,1.42,127.51,0,0,2.73,58.81,18.89,0,3.88,16.15,0,3.48,0.79,6.88,0,49,0,1.41,11.45,163.93,2.63,3.29,7.22,0,12.93,0,0,1.33,0,0,2.19,1.02,0,16,0
108-118,0,0,0,14.94,1.39,0,130.64,0.42,0,0,33.45,9.45,0,0,12.49,0.94,1.99,1.58,4.31,0.46,46.45,0,5.11,11.37,231.91,1.62,2.29,3.94,0,5.26,0,0,1.95,0,0,4.16,0.6,0,9.66,2.72
120,0,0,1.28,3.56,9.79,1.05,123.59,0,0,0,56.62,2.27,0,5.18,11.48,0,0,0,13.66,0,48.95,0,1.41,4.29,171.59,0,0,9.85,0,0,0,0,0,0,0,4.34,0,0,3.81,0
