stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,190.69,1941.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.29,0,0,0,0,0,0,0,0,0,0
  5-6,84.7,1044.29,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,4.5,0,3.29,0,0,0,15.11,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,191.53,0,0,0,52.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.13,0,7.46,0,0,0,36.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.26,0,0,0,87.76,0,11.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.9,3.7,0,3.58,0,1.64,0,0.91,0,0,0.96,2.44,0.81,0,0,0.93,0,4.21,0,0,1.89,34.7,9.14,0,0,0.82,12.96,0,5.83,0,3.18,4.66,9.19,0,0.98,0,0
 24-34,0,0,0,0.61,2.69,4.63,0,18.13,0,0,0,6.2,1.35,0,0,0,6.8,0,0.72,0,2.65,7.03,0,0,4.61,101,2.02,5.01,0,0,43.37,0,0,2.68,0,1.89,15.55,0,17.13,0,0
 36-46,0,0,0,0,0.65,0,0,28.25,0,0,0,3.12,0,0,1.06,1.66,0.56,4.8,0.77,0,0,12.47,0,0,2.6,91.39,1.26,3.61,0,0,38.86,0,0,0,4.22,0,13.08,0,1.12,0,2.24
 48-58,0,0,0,0,8.12,0,0,35.58,0,0,0.5,16.18,0.41,0,1.63,0,0.55,5.78,0.41,8.26,4.15,10.7,0,0.58,2.27,49.96,0,2.61,0,0,43.8,0,0,0.74,0,0,23.03,0,5.06,0,1.29
 60-70,0,0,0.57,0,3.04,0,0,38.68,0,5.63,0,30.07,3.05,0,0,0,0,1.2,0.63,0,0,21.55,0,0.65,2.9,42.53,0.58,2.46,0,0,26.94,0,0,0,0,0,6.4,0,1.61,0,0
 72-82,0,0,0.93,0,0.98,0,0,32.27,0,2.88,0,40.02,2.45,0,0,1.92,0,0,0.61,0,1.04,30.1,0,0,2.14,25.75,0.5,5.8,1.12,0,22.71,0,0,1.13,0,0,4.61,0,12.32,0,2.14
 84-94,0,0,0,0,6.44,0,0,38.14,0,3.34,0,34.69,4.16,0,0,5.47,5.12,0.71,1.23,1.88,2.56,13.57,0.91,0.94,1.7,30.98,0.62,0,3.15,0,47.28,0,0,5.43,0.6,0,1.72,1.68,3.47,0.77,0
 96-106,0,0,0,0,4.5,0,0.74,27.09,0.71,0,3.05,9.64,3.18,0,0,1.44,1.12,1.9,0.63,1.06,0,21.78,0.71,0,2.03,34.84,0,2.82,1.71,0,34.49,0,0,0.91,0,0,2.7,0,3.7,0,1.95
108-118,0,0,0,0,8.99,1.23,0,19.02,0.56,1.11,1.38,18.88,8.46,0,3.91,1.63,2.58,2.38,0.81,5.66,0.78,6.25,0,1.99,0,37.92,0.42,6.51,1.33,0,33.71,0,0,1.94,0,0,2.33,1.71,7.84,0.69,0.6
120,0,0,0,0,20.47,0,0,10.28,8,0,0,44.55,4.18,0,0,0,0,0,0,2.74,1.61,16.75,0,0,2,28.61,0,1.7,0,0,19.71,0,0,6.61,0,0,14.11,0,5.89,0,0
