stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,10.83,0,0,0,0,0,18.94,0,5,0,0
 10-12,0,0,0,0,0,0,0,32.98,0,11.43,0,0
 24-34,0,0,0,0,0,0,0,1.24,0,0,0,1.73
 36-46,0.56,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.86,1.27,0,0,0.67,0.57,0.5,0,0,0
 72-82,0,0,0,0,0,0.54,0.83,3.18,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.79,0,0,0
 96-106,0,0,0,0,1.14,0,0,0,0,0,0,0
108-118,0,0.43,0,0,0,1.73,0,1.63,0,0,1.5,0
120,1.66,0,0,0,12.14,11.14,0,0,0,0,0,0
