stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,pronephros
  3-4,16.72,9.88,0,0,0,0,0,0,0
  5-6,0,64.55,0,0,0,0,0,0,0
  7-9,0,0,4.13,12.47,0,29.96,4.67,33.91,0
 10-12,0,0,5.88,4.55,3.57,73.57,0,65.81,15.96
