stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,223.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0
  5-6,0,168.05,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,16.05,0,0,0,0
  7-9,4.99,7.46,3.44,0,0,9.33,0,0,0,0,0,86.46,7.21,0,0,14.5,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,86.1,0,0,0,9.13,0,0,0,0,0
 14-21,0,0,0,0,0,0.83,0,0,0,0.88,0,1.02,0,0,0,0,0,2.25,0,0,0
 24-34,0,0,0,0,0,3.48,0,0,0,3.89,0,17.31,0,0,1.07,0,0,0.6,0,0,0
 36-46,0,0,0,0.82,0,1.61,0.8,0,0,0,0,39.86,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,2.68,6.11,0,0,1.54,0,2.95,0,0,0,0,0,4.44,0,2.23,0
 60-70,0,0,0,5.04,0,12.79,3.51,1.58,0,1.73,0,7.25,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.51,0,0,0,1.91,0,7.69,0,0,0,0,0.53,0,0.96,0,0
 84-94,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
 96-106,0,0,0,0,0,1.67,0.97,0,1,0,0,0,0,0,0.72,0,0,0,0,0,0
108-118,0,0,0,0.74,0,0,2.26,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.03,0,11.89,0,2.4,2.95,0,7.04,0,8.69,0,0,0,0,0,0,0
