stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,4.24,0,0,0,0,0,0
 10-12,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.92,6.05,0,0,0,0,0,1.07,0,1.83,2.3,0
 24-34,0,0,0,0.78,0,0,0,0,0,0.67,1.38,0,0.78,11.63,0,0.68,0,0,1.38,0,0,0,2.27,0
 36-46,0,8.64,0,0,0,0,0,0,0,0,1.18,0,0.72,13.52,0,0,0,0,0.64,0,0,0,2.52,0
 48-58,0,0,0,1.74,0.67,0,0,0,0,0,1.19,0,0,6.08,0,0,0,0,0.95,0,0.52,0,1.33,0
 60-70,0,6.44,0,7.22,3.52,0,0,0,0,0,0,0,0,13.38,0,0,0,0,2.54,0,0,0,2.6,0
 72-82,0,0,8.11,0,0,0,0.51,0.89,0,0,0,0,0.6,23.07,0,0,0,0,8.93,0,0,0,7.77,0
 84-94,0,1.69,0,1.36,0,0.74,0,0,0,0,0,2.78,0,0.92,0,0,0,0,4.94,0,0,0,0,0
 96-106,0,0,0,3.41,0,0,0,0,1.4,0,0,0,0,10.64,0,0,0,0,12.16,0,0,0,0,0
108-118,0,0.96,0,0,0,0,0,0,1.09,0,0,0,0,9.61,0,0,0,0,4.14,0,0,0,0,0
120,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,2.84,0,0,0,0,5.97
