stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.98,0,2.03,0,0,0,0,0,1.92,0,0,0,0,4.44,0,1.05,52.86,3.17,0.85,0,1.34,0,1.61,24.84,1.72,9.54,0,0,0,0
 24-34,0,1.5,1.68,19.41,0.75,0,0,6.6,0,0,0,0,0.78,0,12.47,0,6.69,165.78,0,1.69,0,0,0,0.72,0,1.9,45.29,0,10.26,0,3.18
 36-46,0,0,1.02,34.74,0,0,0.87,0.74,0,0,0,4.83,0,0,12.13,0,0,105.66,0,0,0,0,0,1.01,0,0,28.2,0,0.72,0,0
 48-58,0,1.21,0,44.96,0,1.22,0,6.56,0,0,0,0,1.04,0,5.87,0,2.24,124.45,0,0,0.37,0,0,4.19,0,0,16.47,0,0,0,0
 60-70,10.54,4.31,0,58.35,0,0,0,19.57,0,0,0,0,0,0,8.28,0,4.23,86.21,3.78,0,0,0,1.44,4.25,0,0,12.42,0,0,0,0
 72-82,0,2.64,0,31.87,0,0,0,5.3,0,0,0,0,0,0,16.67,1.1,2.26,66.26,0,0.67,0,0,0,0,0,0,5.98,0,0.6,0,0
 84-94,0,0,2.57,21,0,0,0,4.97,0.66,0,0,0,0,1.28,9.06,0.85,0,36.27,0,0,1.07,0,0,3.12,0,0,0,0,0,0,0
 96-106,0,0.77,0,19.43,0,0,0,2.14,1.49,0,0,0,0,0,13.93,0,2.15,37.15,0,0,0,0,0,2.6,0,0,0,0.62,0,0,0
108-118,0,0.57,0.46,10.01,0,0,0.88,4.95,0,1.34,0,0,0,0.84,3.06,0,0,18.28,0.45,0,0,0,0,0,0,0,0,0,0,0.68,0
120,0,0,1.3,20.86,0,0,0,20.39,7.97,0,4.08,0,0,0,24.59,0,0,28.7,0,0,31.35,0,0,0,0,0,0,0,7.2,0,0
