stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.99,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.36,13.66,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,25.66,9.34,12.47,5.46,0,5.96,0,0,0,1.29,4.75,0,1.15,0,0,0,0,0,1.05,40.67,0,0,7.15,273.49,0.95,67.18,1.77,0.84,0,0,0,17.66,9.19,129.37,0,0,2.02,0,0
 24-34,0,22.47,1.03,2.83,0.67,0,10.96,0.63,0,0,4.23,0,0,2.46,0,3.72,0,0,0,0,12.06,52.51,0,13.8,531.36,3.3,1726.29,1.06,0,0,1.71,0,16.31,1.39,159.44,0,0,7.38,0,0
 36-46,0,4.79,0,3,0,0,1194.2,0,0.93,0,13.64,0,0,2.68,0,10.05,0,0,5.06,0,11.53,83.47,0,1.27,755.13,4.4,2535.98,0,0,0,3.91,0,0,0,147.46,0,0.62,0.91,0,0
 48-58,0,6.3,0,33.92,3.07,0,15856.04,6.52,6.66,5.06,122.11,2.44,0,14.7,0,4.73,30.6,0.65,1.01,2.75,84.34,116.59,8.43,10.97,1923.3,0.97,1251.46,1.07,0,1.12,5.17,0,0,0,208.78,0,0.4,8.89,4.3,13.03
 60-70,0,2.16,0,57.71,0.57,0,74546.7,1.37,2.6,14.54,162.4,3.87,0,0,0,0.62,0,0,0,15.95,149.35,93.18,24.71,8.68,2586.35,8.85,1192.05,8.12,0,0,46.99,40.49,0.65,0,333.93,2.13,18.81,10.68,20.52,39.14
 72-82,0,26.74,0.75,238.91,29.76,0,85125.51,16.13,18.43,26.08,527.56,16.07,0,8.57,7.23,16.67,16.4,4.02,46.92,2.45,230.48,180.9,15.39,19.22,3669.59,6.43,1926.44,9.17,0,4.35,18.66,2.55,1.5,0,198.73,9.03,28.78,34.5,65.88,108.95
 84-94,0,6.96,0,209.78,30.9,10.69,42776.59,19.93,13.26,33.62,725.02,13.58,0,17.76,5.4,6.96,26.63,1.45,10.53,0,279.35,206.79,26.52,10.7,2884.44,3.42,1689.47,39.87,0,0.79,36.65,14.76,6.12,0,148.88,24.43,33.89,37.33,75.72,26.81
 96-106,0,47.92,0,205.69,75.42,9.85,38019.77,7.26,20.04,1.85,442.34,36.33,0,17.63,39.36,5.41,7.81,6.21,22.45,0,199.2,308.13,16.76,13,2096.49,4.33,2726.42,6.98,0,4.17,42.08,3.03,5.32,0,104.8,72.41,29.77,39.2,64.04,52.23
108-118,0,25.32,0,203.24,15.25,7.5,27684.09,1.05,9.16,5.7,346.53,25.05,0,3.22,13.7,7.87,1.42,0,16.56,0,200.7,134.11,22.48,12.14,2618.45,2.8,1794.12,25.26,0,1.94,23.83,2.96,1.66,0,83,32.31,22.62,36.31,64.96,2.08
120,1.19,49.75,0,131.09,8.03,4.06,15626.51,3.93,19.48,45.58,352.46,41.5,5.2,1.15,13.1,1.72,10.08,0,46.78,0,138.37,69.11,22.73,14.21,2990.88,2.36,1537.86,0,0,31,5.53,2.39,0,0,112.47,31.85,10.74,5.18,32.96,0
