stage,axial,blastomeres,endocrine_pancreas,exocrine_pancreas,eye,glial,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,10.53,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.72,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,49.11,7.17,17.79,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,59.27,0,37.18,0,0,6.92,0,0
 14-21,0,0,0,0,0,0,0,0,1.44,6.35,0,0,3.29,0.91,0,0,4.01
 24-34,0,0,0.71,0,0,0,0.77,0,0,2.81,0,0,0,0,0,1.98,0
 36-46,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0
 48-58,0,0,0.46,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.44,2.6,0,2.84,0,16.81,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,9.16,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.87,0,0,2.05,55.63,0,0,0,0,0,0,2.12
108-118,0,0,0.62,0,2.38,0,0,1.01,0,35.09,0,0,0,0,0,0,0
120,0,0,0,13,0,0,0,0,0,43.14,0,0,0,0,0,0,0
