stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord
 14-21,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.84,1.88,0,2.17
 24-34,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1.28,0,0,64.6,0,0,1.58
 36-46,0,0,0,0,0,0,0,0,0,0.88,0.99,0.7,0,0,0.97,2.71,0,0,86.46,0,0,1.07
 48-58,0,1.87,0,0,0,3.01,0,0,0,0,0,3.71,2.26,1.66,0.4,0.89,0,4.77,67.16,0,3.14,0
 60-70,0,6.75,0,8.97,0,4.77,0,0,1.4,0,0,3.68,0,0,0,2.86,0,0,79.9,0,2.11,0
 72-82,0,1.73,0,2.26,7.1,0.57,0.93,0,0,0,0,4.12,0.56,0,0,14.88,0,0,43.08,0,0,0
 84-94,0,0.72,0,1.2,3.35,6.52,0,0,0,0,0,5.38,0,0,1.27,15.54,0,0,96.08,0,0,0
 96-106,0,6.77,0.95,1.88,7.22,8.49,0,1.31,0,0,0,7.13,0,0,0,17.74,0,0,53.26,0,0,0
108-118,0,23.43,0,0,0,5.11,0,0,0,0,0,22.23,0,0,0,0,1.07,0,32.51,0,0,0
120,0,2.9,0,0,0,1,0,0,0,0,0,0,1.31,6.84,0,12.89,0,0,14.19,0,0,0
