stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.3,0,0,0,0,0,0,0,0,0,0
  5-6,0,89.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,2117.16,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,16.28,0,3.28,0,0,65.39,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,287.85,3.71,0,0,67.2,0,1385.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.29,0,58,0,10.28,9.68,0,0,0,0,0,82.87,0,0,0,0,0,0,0,0,0,0,0,574.68,22.6,0,0,173.21,0,612.78,5.33,10.74,27.18,0,3.11,0,0,0,0,0
 14-21,0,0,0,1.3,27.05,0.87,1.92,0,1.07,0,0,8.04,9.88,1.07,0,23.26,0,0,0,0,2.07,16.22,0,2.48,32.52,0.85,2.92,0,1.46,0,2976.35,0,11.62,0,38.33,26.85,5.62,0,3.96,0,0
 24-34,0,0,0,1.32,53.41,0,8.47,0,12.52,0.63,0,6.14,0.64,0.76,0,50.9,1.57,0.79,0.6,0,13.4,122.09,0,4.65,304.3,2.18,24.42,3.29,0,0,4624.85,0,0.71,0,9.34,4.9,13.69,0,2.98,0,0
 36-46,0,0,0,0,45.32,0,10.23,0,25.04,5.95,3.23,1.79,0,4.4,0,21.29,0,0,0,5.3,27.37,137.23,0,12.5,609.53,0,15.11,2.58,0,0,4812.8,0,0,0.72,2.47,0,13,0,2.56,0,0
 48-58,0,0,0,0,62.71,0,41.75,2.31,28.83,9.13,5.48,1.15,0,0.58,0.45,25.86,0,0,1.44,0,31.29,57.57,0,0.9,348.55,0,14.47,1.72,0,0,2501.72,0,0,0,0,0,18.69,0,0,0,1.87
 60-70,0.81,0,0,0,19.9,0,33.03,0,29.59,0.63,8.44,0,1.71,0,1.16,32.6,4.42,0,0,0,47.32,48.31,0,11.27,213.7,0,17.6,0,0,0,1759.61,0,0,0,0,0,8.08,2.25,3.46,0,0
 72-82,0,0,0,0,39.73,0,21.54,0,15.36,5.45,3.33,0,0,0,0,8.16,0,0,0,0,60.8,20.2,0,0.66,161.01,0,14.27,0.56,0,0,901.85,0,0,0,0,0,10.92,22.06,3.26,2.15,0
 84-94,0,0,0,0,48.25,5.95,32.23,0,49.58,5.55,3.82,1.52,0,0,0,26.08,0,3.59,0,0,39.14,39.04,0.85,1.01,214.12,0,37.4,0.71,0,0,2242.02,0,0,0,0,0,2,53.87,0,0,0
 96-106,0,0,0,0,60.57,0.9,33.7,0,32.38,2.55,0.57,14.74,0,0,0.58,18.46,0,0,19.34,0,64.75,31.86,1.37,1.51,204.49,0,53.41,1.68,0,2.14,1376.74,0,0,0,0,0,3.24,184.58,6.74,0,0
108-118,0,0,1.6,0,63.09,0,49.57,0,55.53,6.45,0,7.58,0,0,0.53,22.54,0,0,2.16,0,50.56,25.66,0.46,4.61,150.14,0,31.84,0,0,0,998.74,0,0,0,2.27,0,0.47,140.15,2.23,0.73,5.35
120,0,0,0,0,45.64,0,9.87,18.62,42.15,5.21,3.53,6.33,0,0,0,9.08,0,0,0,0,89.49,10.39,0,0,100.72,0,11.27,3.51,0,6.17,628.58,0,0,0,1.37,0,11.27,42.41,0,21.27,0
