stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste
  3-4,0,20.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0
  7-9,3.98,6.25,0,0,0,14.88,0,0,0,0,0,0,0,0,0,132.35,0,0,6.34,3.29,0,0,0,0
 10-12,0,0,14.48,0,0,0,0,0,0,0,0,0,0,0,0,87.29,0,0,22.26,0,0,0,0,0
 14-21,0,0,0,0,1.61,0,0,0,0,0.85,0,0,0,0,0.91,5.37,1.15,0,0,0,0,1.83,0,0
 24-34,0,0,0,1.31,0,0,0,0,0,0,0,0.94,0,0.84,0,3.17,0,1.29,0,0,4.53,0,0.66,0
 36-46,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,2.31,0,0,0
 48-58,0,0,0,0.39,0,1.24,0,0.4,0,0,0,0,0,0,0.38,1.15,0,0.51,0,0,5.85,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,3.77,0,0,0,0,0,0,2.81,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,10.63,0,0,0,0,0.66,0,0,0
 84-94,0,0,0,0,0,0,0.97,0,2.89,0,0,0,0,10.32,0,10.5,0,0,0,0,7.05,0,0,0
 96-106,0,0,0,0,0,2.76,0,0,1.18,0,1.7,0,0,6.45,0,1.59,0,0,0,0,0.61,0,0,1.97
108-118,0,0,0,0,0,2.57,0,0,0,0.98,0,0,0.81,4.5,0,16.19,0,0,0,0,8.04,0,0,0.42
120,0,0,0,0,0,7.02,0,3.22,0,1.92,0,0,0,0,0,21.14,0,0,0,0,0,0,0,0
