stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,46.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.41,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,184,0,0.81,0,0,0,0,0,0,1.84,0,0,0,37.55,0,3.56,0,0,0,1.7,0,0,0,0,0,0.89,0,1.91,1.62,1.3,0,121.77,0,0
 24-34,0,0,0,25.95,0,0.86,0.67,0,0,0,0,0,19.96,0,0,0,20.05,0.62,23.22,0,0,3.56,37.02,0,0,0,0,0,6.62,0,0,0,1.04,0,801.47,0,0
 36-46,0,0,0,6.41,0,0,0,0,0,0.63,0,0,37.99,0,0,0,0,0,7.68,0,0.71,0,12,0,0,0,0,0,1.6,0,0,0,7.73,0,534.71,0.78,0
 48-58,0,0,0.74,9.02,0,1.66,0,0,0,5.79,0,0,28.59,0,0,0,0,0,10.43,0.48,0,0.41,29.79,0,0,0.91,0,0,9.73,0,0,0,0,0.84,555.15,0,0
 60-70,0,0,0.91,8.43,0,8.15,0,0,0,9.37,0,0,24.55,2.8,0,0.71,0,0,7.94,1.14,0,4.27,28.59,0,0,0.95,0,0.66,0.64,5.48,0,0,2.85,0,554.05,1.13,0
 72-82,0,0,0,1.26,0,13.11,3.39,0,2.43,12.54,3.31,0,52.55,0,0.63,0.82,0,0,37.03,0,0,0,21.29,0.53,1.22,2.29,0,0,0,0,0,0,9.27,5.44,1114.42,0,4.66
 84-94,0,0,0,0.96,0,8.19,0,0,0,21.15,0.84,2.66,26.79,0,1.11,1.24,0,0,17.42,0,0,0,34.98,0,1.46,2.62,0,0,0,0.82,0,0,0,1.76,953.96,0,0
 96-106,0,0,1.6,7,0,24.47,0.81,0,4.1,33.95,0.63,0,47.92,3.87,0,5.26,2.64,0,23.24,0,1.49,0,30.94,0,0,0,0,6.18,2.46,4.52,0,0,0,2.79,1362.7,0.65,0
108-118,1.45,0,2.17,8.53,0.5,17.17,0,1.02,0,47.47,0,0,25.46,1.25,0,1.34,0.6,2,30.72,0,0,0,35,0,0,0.66,0,9.05,0.52,3.31,0,0,0,0,1083.45,2.26,0
120,0,0,0,0,0,4.42,0,0,0,30.08,0,0,38.58,2.12,0,0,0,0,20.47,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0,11.88,1102.7,0,0
