stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.67,65.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.04,0,0,0,18.31,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,128.41,13.09,0,0,15.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,101.65,15.98,0,0,61.15,0,0,0,0,0,0,0,0
 14-21,0,0,2.05,0.98,69.35,2.58,17.83,0,0,9.78,2.58,10.82,1.3,0.9,0,0,1.21,30.72,0.86,0,19.66,243.56,7.9,0,3.2,6.91,5.44,43.41,6.57,26.38,99.44,7.33,0,0
 24-34,0,0,0,0.68,4.1,0.85,2.67,0,0,0.65,0,2.95,0,0,0,0,0,7.56,0,0,2.81,99.88,0,7.48,0,0,3.79,0,0,1.58,13.41,2.12,0,0
 36-46,0,0,0,0,0,1.1,6.06,0,1.79,3.08,0,0,0,0,0,0,0,5.64,0,0,1.64,98.56,0,5.2,0,0,6.76,0,0,0,19.13,1.68,0,0
 48-58,0,0,0,0,1.21,0,20,0,0,0,0,0,0.45,0,0,0,0,6.68,0,0.37,1.38,94.13,0,2.33,0.38,0,1.37,0,0,0,13.94,0,0,0
 60-70,0,0,0,0,2.17,0,20.43,0,0,1.68,0,0,0,0,0,0,0,3.64,0,0,0.77,134.06,0,0,0,0,2.55,0,0,0,12.8,0.63,0,0
 72-82,0,0,0,0,1.9,0,15.99,0,0,1.79,0,0,0,0,7.42,0,0,8.2,0,0,1.43,68.72,0,3.1,0,0,0.71,0,0,0,7.89,0,0,0
 84-94,0,0,0,0,0,0,3.44,0,0,1.21,0,0,0,0,0,0.68,0,2.8,0,0,0,25.92,0,0,0,0,1.18,0,0,0,0.68,0,0,1.02
 96-106,0,0,0,0,0.74,0.92,18.8,0.59,0,5.01,0,0,0.96,0,0,0.76,0,5.04,0,1.76,0,26.48,0,1.36,0,0,3.25,0,0,0,0,0,0.68,0
108-118,0,0,0,0,0,0,2.01,0,0,2.63,0,0,0,0,1.11,1.04,0,0.74,0,0,0,38.56,0,1.21,0,0,3.16,0,0,0,0.96,4.88,0,0
120,0,0,0,0,0,0,19.31,0,6.64,3.71,0,0,0,0,0,0,0,12.3,0,0,0,61.87,0,0,0,0,1.73,0,0,0,11.17,0,0,0
