stage,neural,notochord,paraxial_mesoderm,spinal_cord
  7-9,0,3.38,7.48,0
 36-46,0.89,0,0,0
 48-58,2.41,0,0,0
 60-70,3.67,0,0,0
 72-82,0.84,0,0,0
 84-94,4.06,0,0,1.12
