stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0.66,0,0,6.05,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,2.64
 36-46,0,0,0,0,0,2.64,1.75,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,16.25,1.6,0,0,0,0,0
 48-58,0,0.66,0,0,11.43,12.99,0,0,0.97,0,2.97,5.77,0.48,14.05,0,0,0,1.09,1.08,2.63,0,12.58,14.7,0,0,0,0,0,1.99,0,1.87,26.8,1.42,0,0,0,0,0
 60-70,0,6.11,0,0,23.29,12.77,0,0,0.87,0,1.12,0,5.79,31.07,0,0,0,4.61,10.84,0,0,5.9,26.09,0,0,1.51,0,0,0.82,0,4.26,23.71,5.25,0,0,0,0,5.13
 72-82,0,1.06,0,0,18.36,10.4,0,1.51,0.66,6.9,0,0.65,6.99,22.78,0,0,0.97,11.09,47.75,0,0,2.09,13.95,0.53,1.1,3.83,1.13,0,0,0,2.03,9.59,3.25,0,1.02,2.55,1.99,0
 84-94,0,0.62,0,0,20.73,8.89,0,0,5.97,2.27,2.21,0.8,19.46,36.5,1.5,0,16.69,0.73,56.66,3.74,0,1.49,30.03,3.2,0,3.67,0,0,0,0,9.08,23,0,0,1.23,0,4.81,7.64
 96-106,0.69,8.82,8.55,3.48,23.09,19.81,1.27,0,13.58,4.28,1.06,3,18.11,68.45,1.34,2.23,27.83,0,88.05,5.12,3.17,1.1,22.07,3.91,0.59,8.83,0,6.37,5.43,0,16.05,30.1,0,0,4.05,0.69,7.82,0
108-118,0,6.46,0.72,1.77,27.39,25.65,1.65,2.48,4.38,16.9,0,3.33,13.68,59.88,6.16,0,35.63,3.99,55.57,7.56,5.65,11.98,31.23,3.86,0,20.03,0,8.2,1.05,0,16.52,28.43,0,7.22,1.16,0,5.24,5.6
120,0,17.27,1.32,0,25.23,30.37,2.93,0,9.54,4.52,0,1.15,17.37,26.39,7.37,0,1.17,22.37,111.46,0,17.36,5.45,19.66,9.6,0,2.57,0,2.76,0,1.12,15.89,1.6,0,0,9.12,0,7.46,5.56
