stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,1.53,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0
 24-34,0,12.84,0,0,0,0,0,0.69,0,10.17,0,0,0,0.69,0,4.54,0.6,0,0,0,0,2.77,0,0
 36-46,0,7.16,0,11.36,0,0,0,0,0,5.23,15.76,0,0,0,0,14.39,0,0.7,0,0,0,0,0,0
 48-58,0,22.96,0,3.05,0,1.2,0,0,0,4.63,0.53,0,0.84,0,0,2.19,0,0,0,0,0,0.52,0,0
 60-70,0,31.48,0,10.28,0,0,0,3.24,0,0,10.64,0.92,14.32,0,0,21.2,0,0,0,0,0,3.09,0,0
 72-82,0,14.44,1.6,4.45,0.79,1.97,0,0.93,0,2.65,106.4,0,5.08,0,0,12.41,0,0,0,0,0,0,1.69,0
 84-94,2.22,19.04,0,12.15,0,0,0,0,0,6.22,242.7,0,0,0,0,0.95,0,0,0,0,0.67,0,0,0
 96-106,0,63.84,0.79,8.61,1.46,1.22,0,2,0,10.49,496.71,0,18.92,12.02,0,10.05,0,0,0,0,0,0,1.37,2.56
108-118,0,47.95,0,2.73,0,0.52,3.79,3.27,2.97,19.11,560.07,0,1.82,16.83,0,12.67,0,0,0,2.14,0,0,3.49,0.57
120,0,45.3,0,19.92,0,2.41,0,0,0,55.42,341.88,2.12,5.28,1.8,5.02,16.5,0,0,0,0,0,19.31,0,1.72
