stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,17.18,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.43,61.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,16.19,3.8,0,0,0,0,0
 10-12,0,0,0,9.56,0,0,0,0,0,0,49.1,12.79,0,13.07,0,0,0
 14-21,0,0,0,0,0,0,0,1.69,0,0,0.94,0,0,0,1.06,0,0
 24-34,0,0,0,0,1.44,0,0,0,0,0,6.74,0,0,0,2.69,0,0
 36-46,0,0,2.39,0,1.17,0,0.86,0,0,0.57,5.64,0,0,0,2.85,0,0
 48-58,0,0,0,0,5.67,0,0,0.47,0.43,0,4.79,0,0.47,0,0,0,2.43
 60-70,0,0,0,0,8.62,2.64,0,0,0,0,16.72,0,0,0,0,0,0
 72-82,0,0,0.87,0.59,1.23,0,0,1.8,0,0,3.63,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.95,2.78,0,0.97,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.26,4.74,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0.53,0
120,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,1.15
