stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0
 14-21,0,0.88,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,1.39,2.56,0,0,0
 24-34,0,0,1.97,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,1.46,0,0,1.15
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,18,1.38,0,0,0,0,2.17,0,0,0
 72-82,0,0,0,0,0,10.67,396.7,0,3.12,0,0.91,0,728.15,0,0,3.67,0,9.56,0,0,0,6.1,0,0,0,0,0
 84-94,0,0,11.2,0,0,37.7,0,0,12.08,0.9,0,0.83,1390.91,0,0,14.29,0.91,31.25,0,0,0,7.84,0,9.78,368.34,0,0
 96-106,0,0,2.75,15.27,0,18.88,3.9,0,7.07,0,0,1.05,4.84,3.16,0,10.46,0,21.25,0,0,0,7.22,0,0,0.84,12.19,0
108-118,0,0,9.38,0,3.68,24.1,0,0,11.88,0,0,1.24,2222.59,0,0.42,18.36,1.1,89.1,0,2.53,1.56,5.93,0,3.87,0,0,2.71
120,0,0,0,3.09,0,47.79,0,3.8,12.44,0,0,2.76,615.31,0,3.09,24.94,3.96,58.77,0,0,0,2.18,0,12.38,0,0,0
