stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.54,1248.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0
  5-6,58.86,638.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.93,0,0,0,4.07,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.94,0,0,0,10.37,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,34.48,4.81,0,0,9.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.45,4.29,0,6.54,0,0,0,3.24,0,0,0,0,0,0,0,0,0,1.74,0,0,0,57.71,1.74,0,0,2.16,0,0,0,1.65,2.52,1.25,33.82,0,0,0,0,0
 24-34,0,0,0,1.91,9.04,1.52,0,30.98,0,0,0.83,3.52,0.66,0,0.76,11.59,1.56,0,0,7.37,0,11.77,0,0,3.14,356.68,0,12.31,1.59,0,0,4.69,0,3.18,1.76,3.5,118.74,0,0,7.62,0,2.08
 36-46,0,0,0.73,0,11.33,0,0,55.77,0,0,2.92,3.41,0.84,0,0.88,43.21,0,0,0.7,2.19,5.24,3.82,0,0.77,3.78,592.12,0.82,3.77,0,0,0,13.77,0,13.44,0,0,195.92,0,0,6.45,0,3.77
 48-58,0,0,0,0,5.31,0.68,0,143.44,0,0,0.84,10.01,0.79,0.68,0.86,15.79,1.26,7.16,0,1.09,10.41,10.13,0.53,1.21,4.23,494.37,0.71,1.83,6.38,0,0.56,5.33,0,3.28,0.82,0,106,0,0,9.1,0,25.39
 60-70,0,0,1.17,0,15.9,3.45,0,433.5,2.72,3.19,3.77,21.93,4.41,4.94,0,24.81,0.58,0.72,0,3.5,4.52,36.87,0,0,4.97,571.7,0,1.31,0,0,0,9.76,0,5.72,0,0,109.07,0,0,6.69,0,24.42
 72-82,0,0,2.97,0,12.36,43.29,0,386.66,1.43,0,12.8,77.06,8.5,1.02,1.16,18.54,0,0,0,7.17,8.55,86.59,1.86,3.52,7.07,550.07,0,6.23,6.05,0,0.71,13.06,0,25.06,0,0,76.31,0,1.22,11.61,5.54,67.63
 84-94,0,0,2.74,0,34.33,40.6,0.92,322.55,2.56,1.47,11.51,87.24,10.02,0.6,4.66,47.73,0.68,10.47,0,6.3,8.69,89.16,2.2,3.88,10.98,459.48,1.2,0.77,7.67,0,1.53,27.95,1.4,75.03,1.38,0,82.02,6.52,1.36,11.73,4.69,58.37
 96-106,0,0,4.81,0,33.74,81.96,0.8,420.79,1.96,7.74,15.79,166.77,15.87,0,3.85,39.39,6.66,13.32,0,9.72,1.35,141.92,3.47,8.03,11.56,444.24,0,9.45,7.67,0,4.02,61.72,0,78.4,0.6,0,50.38,2.99,7.22,17.49,10.54,46.73
108-118,0,0,2.98,0,87.88,68.04,2.43,450.45,2.35,17.18,13.95,169.22,23.02,0,6.21,42.66,4.84,28.99,3.58,31.77,3.14,234.37,1.33,21.53,18.67,769.69,8.2,5.49,10.82,0,1.07,61.53,0,129.24,2.57,0,37.97,2.48,3.45,16.78,6.28,34.31
120,0,0,15.72,0,147.08,78.03,1.09,259.64,3.97,27.17,26.9,239.88,50.38,0,7.03,104.14,9.77,9.31,6,17.76,0,377.99,1.16,14.03,28.86,1014.93,7.66,30.96,22.59,0,2.67,89.91,0,86.1,1.69,0,40.34,2.31,8.31,24.9,17.39,10.98
