stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.51,123.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,69.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.49,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,20.98,0,0,0,35.24,0,0,0,0,0,0,4.35,0,0,0,0,0,0
 14-21,0,0,1.69,0,4.18,1.86,0,0.85,0,0,0,1.33,0,0,8.69,0,6.71,0,0,0,0,4.75,0,30.57,19.71,1.39,0,0,0,0,0,1.58,20.61,0,212.38,217.47,38.64,0,0,1.78,0,0
 24-34,0,0,1.05,0,3.59,0.79,0,11.66,50.22,0,2.24,0.6,0.63,0,5.55,2.63,0,0,0.65,0,0.95,19.55,0,64.7,149.25,1.36,0.95,0,0,0,12.06,0,0,0.94,124.45,117.84,66.24,0,0,28.88,0,3.26
 36-46,0,0,0,0,6.56,0,0,4.34,127.04,0,7.35,1.82,0,0.76,1.78,0,0,0,0,9.67,0,14.36,0,46.35,95.83,0.78,3.12,0,0,0,0.58,0,0,0,72.3,4.71,149.88,0,0,1.85,0,8.23
 48-58,0,0,0,0,5.88,0,0,42.07,135.93,0,2.13,2.02,0,14.74,4.81,0,0.37,0,0.5,1.37,8.86,44.86,0.99,32.87,157.27,0,0,6.11,0,0,1.73,0,0,10.57,48.29,0,208.93,0,0.44,6.37,0,7.35
 60-70,0,0,0.62,0,16.14,0,0,51.43,73.14,0,14.25,23.29,0.96,7.4,0,0,0,3.66,0,0,0,59.16,3.83,26.44,130.82,0,1.43,0,0,0,9.64,0,0,0,27.83,0,177.52,0,0,8.78,1.68,7.4
 72-82,0,0,3.13,0,3.43,3.97,0,98.12,75.28,0,8.88,17.13,3.01,1.99,0,2.39,0.7,2.85,0.88,0,0,106.71,6.44,32.5,234.39,0,0,0.49,1.13,2.93,1.1,0,0,0,11.55,0,257.73,3.98,9.35,26.75,15.16,7.82
 84-94,0,0,6.94,0,11.56,4.61,0,69.61,71.88,2.61,4.51,8.56,0.73,11.3,0,3.49,1.25,7.02,0,0,0,133.31,8.31,25.62,219.44,0,0,0,0,0,10.28,0,0,0,16.75,0,98.38,0,3.77,19.53,25,5.99
 96-106,0,0,9.07,0,5.14,34.36,0,89.06,130.93,0,2.34,27.56,2.55,1.32,0,1.82,0.86,4.61,0,11.33,0,119.82,13.79,37.79,254.02,0,0,2.01,10.66,1.94,7.29,0,0,0,23.18,0,88.05,0,8.4,24.65,7.03,2.01
108-118,0,0,5.82,0.49,1.06,5.76,4.79,97.15,65.66,0.45,4.79,16.14,3.57,0,3.4,0,2.2,15.12,0,0,1.01,146.71,2.51,35.56,283.2,0,0.96,0.47,0,17.11,1.97,0,0,0,25.3,0,63.37,0,13.8,22.39,9.11,2.52
120,0,0,3.74,0,2.19,0,0,108.8,116.84,0,0,18.81,30.61,0,2.63,4.75,0,15.58,0,0,0,239.21,20.53,50.62,366.68,0,0,0,0,25.83,1.41,0,1.12,0,19.84,0,165.98,0,2.55,44.29,47.65,0
