stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.13,0,0,0,0,0,0,0,0
  5-6,0,108.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.04,0,0,0,0,0,0,0,0
  7-9,8.72,35.65,0,3.41,0,0,0,24.65,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,240.94,14.11,0,0,28.53,0,130.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.23,0,0,0,4.17,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,71.09,12.77,0,0,16.82,0,34.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,24.62,2.9,4.84,1.2,0,0,21.43,0,0.8,44.81,0,0,0,0,0
 24-34,0,0,0.8,0,4.97,0,0,1.25,0,0,0,0,1.08,0,0,0,0,0,3.2,0,0,0,0,0,0,358.18,2.34,19.21,4.97,0,0,43.76,0,0,87.06,0,0,0,0,1.18
 36-46,0,0,2.66,0,1.82,0,0,24.16,0,1.39,0,12.74,0.72,0,0,0,1.21,0,6.45,0,0,3.63,0,0,0,1342.24,1.81,23.3,9.86,0,0,1.62,0,0,123.61,0,0,1.67,0,1.19
 48-58,0,0,1.12,0,17.4,0,0,274.25,1.54,3.37,3.1,72.43,0,0,0,7.42,6.84,0,2.66,6.39,0,24.79,1.05,0,6.62,2825.83,0,22.56,12.92,0,0,12.91,0.49,0,224.3,0,0,9.15,0,2.45
 60-70,0,0,2.05,2.79,18.44,0.59,0,1538.41,0,0,0,540.24,3.28,2,0,0,0,0,10.3,6.57,0,15.76,0,6.52,4.58,4892.11,2.29,22.21,15.03,0,0,34.84,1.83,0,433.54,0,2.17,6.21,0,30.56
 72-82,0,0,1.91,0,31.46,21.22,0,3002.24,0,2.07,5.86,1100.55,10.41,0,0,13.7,1.3,3.13,5.46,0,2.19,49.2,0,1.81,9.55,4741.24,3.17,25.03,26.73,0,0,4.19,0,0,294.06,3.38,12.88,8.02,8.78,15.73
 84-94,0.62,0,10.08,0,39.19,7.45,0,2113.78,0.69,0.56,7.82,1005.98,20.36,0,0.8,3.63,0,2.01,4.58,3.6,9.69,82.86,2.13,8.77,8.82,3531.01,8.82,38.89,34.75,0,0,25.78,0,0,297.14,4.22,7.59,7.05,7.36,0
 96-106,0,0,1.92,0,39.96,33.39,0,2463.48,0,8.65,4.04,1012.32,8.43,0,1.61,1.55,0,1.71,7.58,34.01,0,60.98,0,4.81,10.27,2799.24,1.59,48.5,42.54,0,3.28,24.17,0,0,74.85,3.7,3.97,3.35,3.94,29.57
108-118,0,0,1.67,0,59.88,11.01,7.26,2148.72,10.55,1.97,7.73,1020.68,14.45,0,0,0.61,0.81,1.52,4.46,0,4.94,66.54,2.16,2.33,5.27,3164.41,0.93,58.4,48.39,0,0,35.6,4.3,0,101.87,5.26,17.95,2.13,10.78,8.88
120,0,0,0,1.28,104.03,19.18,0,2070.78,1.06,2.54,23.42,1259.52,10.53,0,7.84,7.76,0,10.11,16.99,10.78,0,100.88,2.91,6.66,13.3,8094.76,12.14,102.53,66.16,0,3.68,57.13,0,0,161.44,2.25,21.97,16.65,18,0
