stage,blastomeres,epidermis,exocrine_pancreas,eye,gut,melanocytes,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,12.68,0
  5-6,34.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.44,0,0,0,13.03,0,4.09,0,0
 10-12,0,0,0,0,0,0,0,10.75,0,9.14,0,0
 24-34,0,0,0,0,0,0,2.58,0.71,0,0,0,0
 36-46,0,0,0,0,0,1.49,0,0,0,0,0,0.78
 48-58,0,0,0,0.62,0,0.51,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.94,0,0,0,0
 84-94,0,0.64,0.92,0,0,0,0,2.47,0,0,0,0
108-118,0,0,0,0,0.45,0,0,0,0.52,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.69,0
