stage,epidermis,eye,glial,mesenchyme,mural_cell,neural,otic,periderm,somites,spinal_cord
 14-21,0,0.86,0,0,0,1.14,0,0,0.84,1.91
 24-34,0,0,0,0,0,0.78,0,1.88,0,1.52
 36-46,0,0,0,0,0,2.75,0,0,0,0
 48-58,0,2.07,0.99,1.56,0,2.98,0,0,0,0.71
 60-70,0,5.6,0,0,0,0,1.14,0,0,0
 72-82,0,1.7,1.44,0,1.43,2.67,0,0,0,0
 84-94,0,0,0,0,0,3.03,0,1.9,0,0
 96-106,0,5.42,0,0,0,0,0,0,0,0
108-118,3.21,0,0,0,0,1.8,0,0.88,0,0
120,0,0,0,0,0,2.39,0,0,0,0
