stage,axial,blastomeres,epidermis,eye,glial,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature
  3-4,57.36,323.37,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0
  5-6,10.43,154.17,0,0,0,0,0,0,0,0,8.85,0,0,9.67,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.99,0,0,7.4,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.17,0,0,8.08,1.1,0,0,0,0,0.76,0
 36-46,0,0,0,0.8,0,0.89,0,0,0.67,0,9.11,0,0,0,0,0,0,0
 48-58,0,0,0,3.6,0,0,0,0,0,0.54,5.2,0,0,0,0,0,0,0
 60-70,0,0,0,2.72,0.64,0,0,4.28,0,0,17.96,0,0,0,0.71,0,1.61,0
 72-82,0,0,0,7.57,0,0,0,0,0,0,16.71,0,0,0,0,0,0,2.66
 84-94,0,0,0,15.99,0,0,0,0,0,0,10.38,0,0,0,0,0,1.67,0
 96-106,0,0,1.25,6.04,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0
108-118,0,0,0,14.01,0,0,1.02,1.45,0,0,7.25,0,1.21,0,0,0,0,0
120,0,0,0,22.77,0,0,0,3.42,0,0,25.32,0,0,0,0,0,0,0
