stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0
 14-21,0,12.39,0,0,0,0,0,0.83,0,0,0,0,1.4,0,0,14.17,0,0,0,0,21.48,0,0,0
 24-34,0,13.33,0,0,6.29,0,0,0,0,0,0,0,3.13,0,0,22.51,4.79,0,1.04,0,44.26,0,0,0
 36-46,0,5.96,0,0,8.55,0,0,0,0,0,0,0,0.75,0,0,32.77,19.39,0,0,0,87.74,0,3.28,0
 48-58,0,3.56,0,0,1.41,0.41,0,0,0,0,0.4,0,1.59,0,0,53.01,0.49,1.6,6.34,0,38.32,0.42,11.18,0
 60-70,0,1.49,0,0,2.06,0,0,1.23,0.88,0,0,0,16.69,4.09,0,12.37,0,0,1.26,7.04,18.91,0,12.96,0.89
 72-82,0,5.47,0,1.48,1.54,0,1.85,0,0,0,0.58,0,23.26,6.46,0.94,21.88,0,0,15.3,2.37,16.78,1.97,5.24,2.03
 84-94,0,13.13,0,0,1.63,0,7.8,4.09,0,0,0.83,0,15.11,4.25,0,26.52,0.76,0,9.79,13.02,5.51,0,16.11,3.96
 96-106,0,7.28,0,0,25.2,0,5.97,0,0,0,4.12,0.6,36.3,9.23,0,21.29,0,0,17.36,5.45,1.5,0,17.75,0.68
108-118,0,16.5,0,1.89,8.47,0,2.78,1.49,0,0.84,1.21,1.69,24.89,2.36,0,39.85,0,0,22.63,8.71,23.65,1.88,13.56,3.34
120,0,0,0,0,2.9,0,3.15,0,0,0,1.07,0,9.58,20.72,3.96,17.24,0,5.04,7.9,3.42,4.03,0,2.15,0
