stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  3-4,37.9,405.11,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0
  5-6,0,64.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0
 14-21,0,0,1.38,0.81,0,0,0,0,20.46,0,0,0,0,5.35,0,0
 24-34,0,0,1.05,1.03,0,0,0,0,87.5,0.62,0,0,3.58,29.05,0,0
 36-46,0,0,0,0,0,10.87,0,0,57.02,0.85,0,0,2.79,24.21,0,0
 48-58,0,0,0,0.93,7.8,18.06,0,0,52.68,0,0,0,0,27.37,0,0
 60-70,0,0,0,0,3.33,9.52,0,0,76.7,0,0,0,3.55,12.21,0,1.03
 72-82,0,0,0,0,10.99,22.5,0,0.78,59.16,0,0,1.4,1.68,4.28,1.36,0.99
 84-94,0,0,0.66,1.96,14.05,12,0,0,54.8,0,0,0,0.96,5.82,0,0
 96-106,0,0,0,0,11.02,11.22,0,3.59,54.33,0,0,0,0.8,0,0,0
108-118,0,0,0,0.57,6.56,9.32,0.7,0,31.93,0,0,0,2.22,2.91,0,2.02
120,0,0,0,0,34.94,3.18,0,0,12.43,1.28,0,0,4.26,0,0,6.27
