stage,eye,neural,periderm
 24-34,0,0.74,0
 36-46,0,1.82,0
 48-58,0,8.45,0
 72-82,0,7.61,0
 84-94,1.07,1.64,0
 96-106,0,0,1.86
108-118,0,5.62,0
120,0,7.8,0
