stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  7-9,0,4.85,0,5.43,0,0,13.57,0,0,0,0,13056.51,0,0,0,0,0,0,0,0,0,0,0,125.48,0,0,0,34.65,0,0,0,0,0,0,0,0
 10-12,0,18.15,0,233.21,0,29.42,19.49,0,0,0,0,51410.25,0,0,0,0,0,0,0,0,0,0,0,1832.7,38.74,0,0,618.35,0,8.56,33.61,0,8.17,0,0,0
 14-21,56.65,1.36,0,25.36,457.64,74.75,128.48,0.87,0,41.27,5.58,79852.25,4.53,8.61,13.59,0,0,20.89,2.21,133,1.35,0,104.52,2367.77,85.4,4.6,25.85,61.1,154.84,326.72,14.23,57.79,372.73,874.82,8.55,9.44
 24-34,0,0,0.75,7.27,144.76,16.98,235.86,11.2,1.77,52.25,3.89,27333.15,5.64,6.6,30.17,0,3.12,45.08,6.37,173.83,1.34,0,110.19,2792.13,71.6,28.07,15.58,0,182.63,1.1,15.95,120.3,75.07,461,144.21,15.36
 36-46,0,0,0,0,10.39,0,19.42,6.72,0,1.25,0.66,1836.6,0,0,2.37,3.25,0,0,7.33,47.77,0.59,0,16.84,617.65,4.07,0.65,0,0,25.69,0,0,1.85,0,27.4,21.64,5.01
 48-58,0,0,0,0,0,0,9.3,0,1.48,0.64,0,336.51,0,0,0,0,0,0,0,3.68,0,0,0,16.48,0,0,0.43,0,0,0,0,0,0,0,0,0.82
 60-70,0,0,0,0,0,0,11.31,0,0,0,0,55.9,0,0,0,0,0,0,0,1.54,1.14,0.65,0,33.36,0,0,0,0,0,0,0,0,0,0.81,0,0
 72-82,0,0,0,0,0,0,0.87,0,0,0,0,13.49,0,0,0,0,0,0.5,0,3.71,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.48,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.94,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,22.55,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,22.88,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
