stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.66,243.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.29,657.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.57,25.45,0,3.4,0,0,0,44.65,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0,0,342.24,36.4,0,0,125.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.37,0,17.75,0,0,0,40.59,0,0,0,0,13.36,0,0,0,0,0,0,0,0,0,0,0,346.33,25.52,0,0,53.66,0,5.95,4.19,22.51,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,1.88,3.9,0,3.4,0,0,1.3,0,0,1.15,0,0,0,0,0,0,2.32,0,0,4.61,61.98,2.78,0,0,0.88,0,0,7.02,1.7,0,4.88,17.25,0,0,5.88,0,0
 24-34,0,0,0,0,6.45,0,0,6.76,0,0,1.53,0,0,0,0,0,0,0,0.69,0,3.99,0,0,0.75,138.58,3.75,4.29,0,0,6.03,0,0,0.7,0,0.64,28.33,0,0,12.59,0,0
 36-46,0,0,1.35,0,16.52,0.73,0,18.23,2.45,1.23,10.45,0,0,1.71,0,0,0,0,0,0,16.12,0,0,6.21,275.98,1.14,4.7,0,0,7.39,0,0,0,0.58,0,66.9,0,0,2.28,0,0.81
 48-58,0,0,0,0,10.66,0,0,36.27,4.52,12.23,17.91,0.49,0,0.69,11.07,0,0,0.41,0,0.87,20.36,0,0,3.87,228.51,12.39,5.75,0.74,0,5.09,0,0,0,0,0,57.32,0,0,6.96,0,0
 60-70,0,0,0.86,0,5.88,3.8,0,51.02,0,4.14,19.72,0,0,0,1.61,0,1.16,0,0,0,21.14,0.85,2,0,180.97,0,0,0,0,5.01,0,0,0,0,0,30.97,0,0,9.66,0,0.99
 72-82,0,0,0,0,1.67,84.3,0,88.28,3.72,2.19,21.81,1.17,0.65,0.91,1.69,0,0,1.28,0,0,40.24,0,0.88,2.8,230.18,0,1.57,4.31,0,5.93,0,0,0,0,0,15.33,0.82,0.73,26.33,0,0
 84-94,0,0,0,0,3.69,8.05,0,41.86,0.58,0.91,21.2,0.58,0,0,4.49,1.16,0,4.75,0,1.76,43.08,0,0,1.54,133.03,6.69,0.93,0,0,1.6,0,0,0,0,0,7.3,0.56,1.49,7.59,0.68,0
 96-106,0,0,0,0,12.46,102.31,0,94.86,8.26,0,27.79,3.75,0,0,4.73,1.27,0.77,0.58,0,0,28.18,0,3.82,1.65,205.41,0,5.2,1.09,0,17.35,0,0,0.73,0,0,5.77,0,4.05,38.48,2.57,0.62
108-118,0,0,1.21,0,7.49,45.01,1.38,56.34,1.63,1.52,16.38,0.74,0,0,8.52,0.71,0.41,0,0,0,23.92,0,3.09,4.44,144.38,1.18,3.26,5.78,0,21.6,0,0,0,0.53,0,5.69,0.91,1.74,17.27,2.62,0
120,0,0,0,0,27,82.66,2.35,38.9,3.83,0,13.19,1.21,0,0,21.14,0,1.91,0,0,11.42,24.28,1.1,4.22,1.67,280.47,6.8,0,7.34,0,4.38,0,0,0,0,0,0,0,0,36.6,0,0
