stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,14.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.09,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,17.94,0,0,17.87,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.59,0,0,0,0,0,0,0,10.63,0,0,0,0
 14-21,0,0,0.92,0,2.97,0,0,0,0,0,0,0,0,0,0,0,2.14,0,3.02,34.23,0,0,0,0,0,4,0,5.93,6.68,0,0,0
 24-34,0,0,1.28,0,1.38,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,12.54,0,0,0,0,0,0,0,2.1,3.53,0,0,5.47
 36-46,0,0,0,0,4.06,0,0,1.1,0,0,0,0,0,0,0,1.24,2.81,0,0,15.68,14.87,0,0,0,1.55,0,3.15,0,5.87,0,0,0
 48-58,0,0,0,0,2.91,0,0,1.38,0,0,0,0,0,0,0.65,0.54,3.42,0,0.96,2,0,0,0,0,0,0,0,0,0,0.45,0,0
 60-70,0,0,3.73,0,8.19,0,0,9.44,0,0,0,0,0.6,0,1.83,0,4.03,0,1.57,1.69,0,0,0,0,0,0,0,0,2.49,0,0,0
 72-82,0,0,0,0.88,6.57,0,0,3.06,0,0,0,0.97,0,0.62,0,0,5.75,0.9,0.56,0,0,1.53,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.61,1.17,1.18,1.43,0.98,0,0.62,0,0,0,0,0,15.21,0,1.41,4.07,0,0,0,0,0,0,0,0,0,0.62,1.09,0
 96-106,0,0,0,3.39,11.45,0,1.21,1,0,0,1.41,0,0,0,0,0,6.67,0,1.65,0,0,0.91,0,3.91,0,0,0,0,0,6.68,0.62,0
108-118,0,0,3.95,0,7.13,0,0,0.53,0,0,1.36,0,1.57,0,0,0,10.81,0,0.67,8.65,0,0.72,0,0,0.53,0,0,0,0,0,0,0
120,0,0,3.03,0,0,0,3.09,0,0,0,0,1.72,0,0,6.54,0,8.78,0,0,14.92,0,0,0,0,0,0,0,0,0,0,7.37,0
