stage,immune,mesenchyme,neural,pronephros
 14-21,0,0,1.2,1.27
 24-34,2.08,0,5.98,0
 36-46,0,0,1.08,0
 60-70,0,0.62,0.97,0
 72-82,1.99,0,3.85,0
 84-94,2.87,0,0,0
 96-106,2.4,0,1.11,0
108-118,7.68,0,2.24,0
