stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.05,0,1.61,0,1.03,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,28.75,0,0.98,0,0,0,0,9.28,0,4.49,15.22,35.9,0,0,0,0
 24-34,2.83,2,2.57,0.87,1.93,0.68,0,0,1.45,1.02,0,0,0,0,2.36,0,3.25,0,0,1.38,292.79,0,22.72,0,0,0,0,0,10.19,5.67,2.25,99.3,0,0.74,0,0
 36-46,0,0,0,0,14.99,5.62,0,0,2.22,0.57,0,0,0,0,0.62,0,2.45,0,0,0.55,812.27,0,26.53,0,0,0,12.97,0,18.19,0,0,168.83,0,0,0,0
 48-58,0,0,0,0,77.01,0.89,0,1.06,12.32,0,0.97,1.12,0,0,2.44,0.43,7.86,0,0,2.82,1134.15,0,12.32,0,0,0.56,1.7,0,0.59,0,0,175.58,0,0,0,0
 60-70,0,0,0.61,0,283.53,4.22,0,0.84,19.41,1.06,0,0,0,0,1.33,0,19.26,0,0,1.1,1839.29,0,11.86,1.58,0,7.62,0,0,1.79,0,0,240.69,0.65,0,0.91,20.37
 72-82,0.69,0,4.62,5.98,430.81,0,0,1.36,44.57,0,1.07,0,0,0,1.6,0,30.54,1.8,0,0.55,1796.69,0,32.55,7.23,0,0,6.46,0,0,0,0,206.11,0.56,0.64,4.5,14.05
 84-94,0,0,3.41,0,291.08,0,0.83,0,28.87,1.26,0,0.56,0.76,0,4.41,0,15.34,2.95,0.92,4.8,1108.63,0,26.6,0,0,0,0.68,0,4.38,0.88,0,119.58,1.44,1.22,9.28,0
 96-106,3.98,0,6.09,10.85,328.76,0.94,0,4.16,44.62,0.85,0,1.65,0.87,0,0,0,24.17,0,0.95,0,1036.14,0,47.35,1.55,0,0,11.32,0,3.06,0,0,67.07,5.39,0,14.58,0
108-118,0.84,0,6.01,0.45,344.8,1.5,0.44,0,28.75,2.99,0.69,0,0,1.01,0.67,0,17.64,0,0,0,1707.15,0,40.3,1.28,0,0,0,0,1.85,1.31,0,65.2,4.13,0.55,15.72,0
120,0,0,9.27,0,254.09,0,0,0,102.45,1.54,0,7.94,0,0,27.6,0,24.95,0,0,0,2589.95,0,47.38,0,0,0,5.82,0,2.88,5.96,0,67.83,9.82,2.09,7.49,0
