stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.64,0,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0,0,12.04,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.78,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,408.76,0,0,3.11,0,0,0,0.91,0,0,0,1.93,2.33,0,0,13.35,0,0,0,0,0,3.75,1.64,0,12.83,0,0,0,0,0
 24-34,0,0,423.46,0,76.22,57.56,0.61,0,0,6.16,0,0,0,1.35,13.17,0,0,61.97,11.56,2.43,0.95,0,0,0.88,0,3.35,20.95,0,0,0,0,1.12
 36-46,0,0,101.09,0,289.62,116.04,0.8,0,0,0,0,0,0,4.33,0,0,0,40.31,5.26,0,0,0,0,0,0,0,35.45,0,0,0,0,9.59
 48-58,0,0,25.13,0,302.44,58.18,0.44,1.25,0,0,0,0,0,19.88,0,0.79,0,30.3,0,0,2.05,0,0.73,0,0,0,29.02,0,0,0,0,0
 60-70,0,0,19.01,0,259.02,48.13,0,3.05,4.05,0,0,0,0,14.79,0,0,0,8.31,0,0,0,0,0,0,0,0,6.91,0,0,1.46,2.15,2.91
 72-82,0,0,18.25,0.59,170.8,57.7,2.87,0,1.99,0,1.06,3.11,6.81,34.82,0,1.31,0,27.96,0,0,0.49,0,0,7.53,0,0,10.13,0,0,0,0,0
 84-94,0,0,32.09,0.57,234.25,81.9,0,1.28,11.32,0,0,0,0,18.16,0,9.28,0,30.85,0.72,0,0,0,0,0,0,0,0.65,0,0,1.69,0.91,0
 96-106,0,0,66.66,0,241.13,40.24,0,6.37,3.29,0,7.87,0,9.15,37.16,0,8.02,0,26.76,0,0,0,0,2.63,0,0,0,9.15,0,1.32,0,0,0
108-118,0,0.41,85.29,0,200.39,82.8,2.11,1.23,10.53,0,19.28,0,0,46.4,0,8.05,0.59,17.53,0,0,0.49,0,0,0,0,0,16.8,0,0,0,0,0
120,0,0,49.16,0,264.54,45.15,0,0,12.8,0,0,0,0,47.16,0,0,0,5.45,0,0,0,0,0,0,0,0,12.72,1.94,0,15.31,0,0
