stage,eye,glial,gut,mesenchyme,muscle,neural,notochord,otic,spinal_cord,vasculature
 14-21,0,1.6,0,0,0,4.9,0.82,0,0.92,0
 36-46,0.62,0,0,0,1.37,0,0,0,2.21,1.18
 48-58,0,0,0,1.44,0,1.27,0,0,0,0
 60-70,0,3.15,0,0,0,0,0,0,0,0
 72-82,0,2.42,0,0.72,0,0,0,0,0,0
 84-94,0,0,0,0.71,0,0,0,0,0,0
 96-106,0,0,0.7,0,1.63,0,0,0,0,0
108-118,0,0,0,0,0,1.1,0,2.68,0,0
