stage,axial,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord
  5-6,0,0,0,0,0,0,0,0,13.48,14.47,0,9.67,0,0,0
  7-9,9.43,0,0,0,0,0,13.64,0,18.83,5.04,0,3.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.73,0,10.02,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.56,0,0,0,5.62,0,0
 24-34,0,0,0,0,0,0.61,0,0.65,2.45,0,0,0,0,0.66,0
 36-46,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
 48-58,0,1.76,0,1.59,4.05,0,0,0,1.43,0,0,0,0,0,0.76
 72-82,0,0,1.34,0,0,0,0,0.76,0,0,0,0,0,0,0
 84-94,0,0.94,0,2.34,0,0,0,0,3.9,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.04,0,1.12,0,0,0,0
