stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,476.37,4385.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.01,0,0,0,0,0,0,0,0
  5-6,188.88,3525.72,0,0,0,0,0,0,0,0,0,0,0,0,0,87.32,0,0,0,17.63,103.26,0,0,0,0,0,0,0,0
  7-9,80.86,75.61,115.47,0,0,214.38,0,0,0,65.94,0,0,0,0,0,1966.31,23.21,0,0,573.13,16.08,7.89,0,0,0,0,0,0,0
 10-12,0,15.86,47.53,0,0,56.33,0,0,0,16.88,0,0,0,0,0,737.41,7.76,0,0,132.65,0,3.03,0,25.21,0,0,0,0,0
 14-21,0,0,1.84,32.78,2,13.96,0,1.08,3.93,0,0,0,0.93,6.59,5.27,132.89,5.39,0,0.95,0,0,0,35.94,0.82,1.72,14.96,24.72,0,0.84
 24-34,0,0,0,2.14,0,2.13,0,0,0,0,0,0,0,5.53,0.99,37.49,1.92,0,0.62,0,6.32,0,0,0,0,0,2.57,1.58,0
 36-46,0,0,0,0.65,0,0.84,0,0.77,0,0,0,0.74,1.46,0.69,0,21.92,0,1.02,0,0,4.07,0,0,0,0,0,11.82,0,0
 48-58,0,0,0,0,0,3.65,0.8,0.53,0,0,0,0,0,0.97,0,9.06,0,0,0,0,0,0,0,0,0,0,3.39,0,0
 60-70,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,19.35,0,0,0,0,0.71,0,0,0,0,0,1.09,0,0
 72-82,0,0,0,0,0,27.94,0,0.85,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0.64,0,0
 84-94,0,0,0,0,0,20.07,0,0,0,0,0,0,0,3.42,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,55.93,0,2.37,0,0,0.58,0,0,2.77,0.64,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.48,0,46.18,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
