stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,4.41,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.67,0,0,0,0,1.92,0,0,0,0,0,0,0,0,9.43,0,1.37,0,0,0,0,0.97,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,17.91,0,0,2.11,0,2.49,1.95,1.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,7.75,0,0,3.61,0,0.82,1.54,2.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.27,3.22,0,0,0,0.53,0,0.46,0,0.38,0,0.49,0,1.74,8.39,0,4.01,0,5.71,0,0,0,0,0
 60-70,0,0,0,0,0,4.78,4.14,5.59,0,0,0,1.23,0,0,0,0,1.07,2.52,0,2.22,1.26,0,6.27,0.93,0,0,0,0,0,0.96
 72-82,0,2.31,0,0,0,10.31,1.82,31.92,0,0,1.2,15.23,0,4.18,0,0,1.41,18.42,0.68,1.1,6.2,0,8.84,2.59,0,0,0,2.09,0,0
 84-94,0,6.01,0,0,0,9.33,3.47,58.94,0,0.65,0,1.92,0,2.21,0,0,0.71,19.92,4.03,4.24,21.27,0,25.31,6.62,0,4.02,4.46,0,0,0
 96-106,0,7.2,0,3.58,0,11.74,7.67,150.06,0,1.88,0.69,6.24,0,5.71,0,0,0,57.35,1.64,4.68,14.12,0,22.3,4.85,0,10.42,0,0,0.69,0
108-118,0,0,0,2.9,0,21.76,3.19,229.16,0,0,0,7.1,3.27,8.28,1.27,0,0.47,39.67,0.46,3.9,13.32,0,16.48,8.51,1.43,15.5,0,2.22,2.23,0
120,0,10.11,0,7.69,2.43,0,2.42,181.2,0,0,1.46,1.19,4.14,0,0,0,2.23,63.24,0,3.8,13.31,0,4.09,3.97,5.26,20.37,0,0,0,0
