stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,56.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,100.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.38,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.65,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.47,0,0,0,18.5,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,34.22,4.38,0,0,15.11,0,0,0,0,9.55,0,0,0,0,0,0,0
 14-21,0,0,8.15,32.22,9.63,1.89,0,0,0,0,0,0,29.76,2.24,0,0,0,0,0,165.7,0,6.63,0,0,0,7.89,0,0,0,0,0,0,0,1.59,16.77,5.71,6.06,0,0,0,0,0
 24-34,0,0,37.54,86.64,4.5,5.13,0,0.85,0,0,0,0.6,100,0,0,0,0.72,0,0,321.46,0,2.62,0,0,0.99,88.22,0,0,0,0,0,0,0,0,155.44,12.63,16.51,0,0,1.59,0,0
 36-46,0,0,66.15,16.26,8.98,0,0,5.96,0,1.25,0,2.05,140.04,0,0,1.9,0,0,0,218.07,0,6.37,0,0,0.98,101.94,0,0,1.52,0,0,3.65,0,0,131.69,0,14.26,0,0,0,0,0
 48-58,0,0,29.98,2.58,3.25,0.48,0,21.01,0,0,0,10.35,155.36,0,0,0,0.38,0,0,237.04,0,6.63,0,0,0.63,58.25,0,0,0,0,0,4.77,0,0,90.92,0.42,10.91,0,0,0.62,0,0
 60-70,0.8,0,24.11,0,1.42,0,2.15,30.26,0,0,0,13.28,237.77,0,0,1.26,3.46,0,0,390.99,0,9.03,0,0.84,0,102.83,0,0,0,0,0.71,11.07,0,0,106.96,0,5.15,0,0,1.65,0,0
 72-82,0,0,186.34,3.6,11.88,10.49,19.86,132.14,0,1.45,1.64,14.72,562.13,0,0,2.03,1.61,0,2.58,1740.47,0,55.44,0.78,1.77,2.04,339.54,0,2.27,1.24,0,0,4.74,0,0,152.24,0,14.92,4.02,4.14,1.95,2.14,1.38
 84-94,0,0,139.73,24.22,4.73,14.55,56.42,185.25,0,3.55,3.78,9.13,981.92,0.91,0,2.24,0,0,2.39,5031.41,0,45.69,4.49,2.3,5.14,296.06,5.19,8.48,0.84,0,0,23.86,0,0,384.83,0,3.39,3.72,0,19.41,6.81,14.75
 96-106,0,0,200.37,41.24,47.85,76.18,94.21,460.95,0,6.62,2.3,73.21,1540.12,0,4.52,25.9,4.12,7.58,3.92,7729.74,0,163.96,1.58,11.75,8.86,1146.39,1.46,7.58,7.51,1.2,3.53,83.7,1.14,0,368.57,0,36.59,2.15,7.36,31.23,10.72,12.21
108-118,0,0,174.32,57.66,51.09,44.3,200.37,656.9,6.54,15,13.15,89.08,1919.3,0,6.29,15.66,7.75,6.93,0.97,28653.32,16.46,213.87,3.19,8.42,21.78,1821.26,6.26,8.71,17.29,0,9.28,93.27,0,0,527.03,2.12,23.07,6.2,0,49.46,14.22,24.26
120,5.85,0,138.96,22.52,35.62,20.5,66.79,373.98,0,9.38,0,107.67,1707.81,0,0,19.72,8.38,12.31,4.77,13431.98,1.51,133.77,0,10.33,21.65,1235,0,0,13.73,0,4.22,35.87,0,0,386.03,1.22,13.89,1.63,0,30.52,0,0
