stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,1.33,0,0,0,1.14,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.68,0,0,0.64,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,1.27,11.47,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,2.19,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.36,0,0,0,284.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,19.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.4,0,23.76,8.36,3877.66,152.27,3.03,2.29,6.93,30.2,2.23,0,0,3.29,2.32,9.56,1.06,11.67,0,65.45,5.19,1.73,4.72,520.29,0,2.39,5.01,0,4.67,32.59,1.65,0,0,3.02,34.23,0.97,5.11,13.33,3.68,0
 84-94,0,0,2.24,0,11.51,9.17,6194.83,111.88,0,3.54,1.31,23.95,0,0,0,1.33,0,0,0,3.82,0,60.71,0.89,0,2.7,393.57,0,9.45,0,0,0,37.07,0,0,0,0,33.74,2.36,1.38,3.01,6.57,10.61
 96-106,1.12,0,10.56,1.03,153.65,372.32,31677.77,1121.6,4.94,29.98,69.59,242.62,69.94,1.06,17.43,55.15,20.04,10.88,18.65,267,0,585.7,29.61,35.21,65.31,3051,11.75,49.86,26.75,0,13.83,380.63,3.82,0,2.71,4.81,74.13,11.67,19.83,143.49,38.22,54.74
108-118,0,0,18.13,1.48,248.22,236.09,87411.99,2311.09,27.41,38.2,63.63,488.46,104.04,0,8.77,68.72,38.72,81.82,21.6,187.83,53.61,986.52,37.35,37.52,105.47,5229.52,27.64,30.59,36.91,0,44.94,442.98,0,0,7.36,3.86,95.58,24.68,15.53,106.7,36.95,196.09
120,0,0,2.94,0,283.3,169.74,34632.2,1292.01,30.76,34.7,54.83,699.65,93.16,0,20.22,81.09,2.26,7.23,4.79,82.63,0,847.38,30.53,29.21,133.03,5478.98,14.72,56.49,64.74,0,11.03,224.88,0,1.12,219.92,2.45,143.3,20.07,31.02,85.8,9.61,33.18
