stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1423.18,23075.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,4038.42,44274.86,59.06,0,0,0,0,0,0,0,0,104.15,0,0,0,0,0,0,0,0,0,1321.25,109.86,0,0,224.48,0,923,0,0,0,0,0,0,0,0,0,0,0
  7-9,704.36,1649.6,2830.47,0,26.76,5221.81,0,0,0,0,0,1907.31,0,0,0,0,0,0,0,0,0,54262.72,956.2,0,0,18840.97,0,43.14,135.56,0,0,0,0,0,0,0,0,0,0
 10-12,8.69,668.32,785.89,0,161.43,1826.59,0,0,0,0,0,230.4,0,0,0,0,0,0,0,0,0,19302.49,295.87,0,0,6901.13,0,10.27,52.02,22.08,712.61,0,14.15,7.02,0,0,0,0,0
 14-21,0,0,14.72,97.54,16.94,73.68,0,0,0,26.45,0.85,0,0,0,0.9,0,0,0,45.57,0,53.7,1214.03,12.27,7.93,4.82,30.32,0,2.79,0.9,101.11,2.46,5.46,52.14,318.44,0,0,2.51,0,0
 24-34,0,0,1.44,37.32,8.63,613.92,0,0,1.48,75.25,0,0,0.62,3.7,2.62,2.38,3.66,1.53,299.78,1.51,66.8,4030.42,15.81,29.4,24.98,0,0,16.64,0.86,0,1.45,0,6.16,825,0,0,26.67,0,2.45
 36-46,0,0,0,31.67,9.55,2550.96,0,0,0,87.92,1.33,0,2.74,3.92,0,4.52,0.77,2.42,381.13,8.59,87.18,4420.68,4.2,23.36,16.34,0,0,5.64,0,2.9,0,0,0,877.74,0,0,23.92,0,2.24
 48-58,0,0,2.3,17.49,10.33,2186.65,0,0,8.5,78.68,3.43,0,3.1,1.27,2.75,1.63,0.82,0,325.02,14.48,59.5,1593.59,2.01,4.49,9.59,0,0,9.95,0,0,3.22,0,0,150.82,0,0.51,11.66,0,4.77
 60-70,0.81,0,0,30.64,1.57,1838.09,0.96,4.82,0.73,82.69,6,0,3.52,14.54,0.64,2.56,4.84,0,260.11,29.39,36.4,1079.6,0,2.98,2.84,0,0,4.11,0,0,0,0,0,39.03,0,0,32.88,0,0
 72-82,0,0,0,12.15,0.52,347.07,0,0,2.1,57.87,4.3,0,2.49,1.69,1.1,1.24,1.24,0,149.21,4.66,16.21,361.92,1.8,3.2,4.67,0,0.71,1.79,0,0,0,0,0,10.25,0,0.53,7.22,0,4.43
 84-94,0,0,0,25.96,3.54,465.18,0,0,0,58.59,6.4,0,0,2.09,3.73,1.46,0,0,198.18,41.27,28.69,402.14,1.11,2.18,2.37,0,0,0,0,0,2.25,0,0,6.68,0.56,0.58,14.55,0,11.97
 96-106,0,0,0,8.9,10.5,189.46,0,0,0,16.99,3.43,0,0.97,12.22,1.06,0.92,1.4,0,52.57,10.72,8.92,234.17,0,0.69,2.68,0,0,0.71,0,0,0,0,0,2.8,0,0,6.51,2.63,0
108-118,0,0,0,6.08,2.57,194.91,0.46,0,1.09,33.2,3.59,0,1.61,9.71,0,0,2.25,1.5,45.26,6.49,8.81,265.84,1.51,1.37,0,0,0,1.33,0,0,1.31,0,0,1.73,1.01,0,7.5,0,0
120,0,0,0,20.48,3.69,326.39,0,0,1.04,54.54,1.32,0,5.18,23.2,1.4,0,0,0,49.63,2.35,13.81,436.64,1.1,0,8,0,0,16.26,0,0,0,0,0,0,0,0,9.18,0,0
