stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.7,765.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,307.91,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.59,0,20.21,0,0,0,13.05,0,0,0,0,0,27.61,0,0,0,0,0,0,0,0,0,0,0,342.88,13.69,0,0,123.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.72,0,39.94,0,6.22,0,46.47,0,0,0,0,0,15.72,0,0,0,0,0,0,0,0,0,0,0,478.53,0,0,0,316.61,0,0,8.55,20.9,0,5.73,5.09,0,0,0,0,0
 14-21,0,0,0,0,30.59,19.42,0,36.77,0,0,0,0,1.28,0,1.01,0.94,19.03,0,0,0,9.55,9.54,0.86,0,1.99,84.3,0.81,0,2.61,10.51,0,15.82,17.93,6.24,1.82,24.3,75.65,0,0,0,0,4.82
 24-34,0,0,0,2.08,17.37,4.85,0,128.87,0,0.66,5.12,2.86,2.16,0,0,6.93,62.06,3.48,1.54,0.95,31.04,47.91,2.16,0.69,13.6,218.9,0.75,4.56,7.86,0,0,18.92,0,0.97,1.69,11.93,46.2,0,0,9.05,0,31.86
 36-46,0,0,0,0,7.8,0,0,61.83,0.85,0.62,1.26,12.22,2,0,0.75,9.89,12.54,18.02,2.04,4.05,1.62,35.96,14.85,0,7.09,184.93,1.14,2.32,5.95,0,0,29.71,0,1.2,7.02,0.56,13.98,0,0,7.1,0,10.16
 48-58,0,0,0,0,39.64,0,0,116.5,0.99,6.36,4.88,13.89,7.98,3.47,1.03,20.16,29.96,24.74,1.53,9.32,3.45,52.33,6.03,1.63,7.31,174.74,0,3.16,6.47,0,0,13.23,0,0,1.8,0,11.56,0,0.84,16.63,0,26.65
 60-70,0,0,0,0,20.8,0,0,65.76,1.47,8.33,4.73,16.05,9.5,0,0,33.75,18.8,13.37,2.5,10.61,0.59,123.12,0.73,3.72,21.68,134.92,0,2.68,13.41,0,0,11.44,0,0,0,0,20.48,0.61,0,1.46,0,7.1
 72-82,0,0,0,0.51,18.95,1.11,0,90.71,0,0,3.68,89.43,12.07,0,5.88,13.31,14.94,3.57,4.68,3.14,0,297.96,2.35,1.08,8.39,137.17,1.15,6.36,39.25,0,2.08,10.93,0,0,0,0,7.21,6.29,2.43,15.79,0.93,5.56
 84-94,0,0,0,0,11.43,5.43,0,91.45,0,2.07,13.28,64.57,14.34,0,0.8,14,30.74,15.91,5.6,2.6,0.71,272.17,0.76,2.33,16.8,136.79,0,4.05,43.41,0,0.83,35.45,0,0.55,0,0,13.22,11.46,2.27,14.42,3.36,12.19
 96-106,0,0,2.09,0,39.62,0.82,1.14,151.21,0,2.24,2.6,96.43,12.42,0,7.1,22.93,23.02,12.71,8.56,7.67,0,400.4,2.42,12.09,13.79,141.59,0,18.15,51.33,0,1.54,46.36,0,0,8.23,0,4.88,2.92,0,13.83,0,14.74
108-118,0,0,0.97,1.53,43.17,0.87,4.42,90.83,0,4.38,10.56,81.54,8.03,0,3.6,29.33,23.49,6.12,4.2,5.81,4.68,503.22,1.78,0,19.6,136.79,0,9.73,61.76,0,5.67,60.72,0,2.35,0.98,0,11.01,6.58,0.9,16.47,1.44,10.66
120,0,0,0,0,72.18,6.66,0,61.79,0,6.67,15.34,135.17,6.75,0,2.63,32.83,5.56,1.59,0,6.06,3.1,346.65,0,0,34.89,215.51,0,1.62,59.09,0,2.03,46.84,0,0,1.32,0,0,24.8,0,49.98,0,6.17
