stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,35.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49,0,0,0,7.45,0,0,0,0,0,0,0,0,0
 10-12,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,12.77,0,0,10.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.56,3.48,0,0,0,0,0,1.22,0,32.39,0,0,0,0,0,1.26,103.67,0,0,22.59,34.84,1.29,0,1.05,0.82,0,0,0,4.45,0,0,0,0,0
 24-34,0,0,0,5.76,2.9,0,0.62,0,0,0,0.86,0,146.12,0,0,0,0,0,0,152.86,0,2.43,19.58,78.47,0,0,0,0,0,0.64,0,47.06,0,0,1.65,0,0
 36-46,0,0,0,4.78,0,0,2.61,0,0,0,1.14,0,251.06,0,0,0,0,3.28,0,166.61,0,7.18,0,210.93,0,0.91,0,0,10.49,1.02,0,129.04,0,2.54,28.05,0,0
 48-58,0,0,0.43,1.27,0,0,4.01,0,0,0,1.52,0,127.89,0,0,0,0,1.77,4.19,155.38,0,19.3,0,305.21,0,7.03,9.68,0,7.27,0,0.56,116.35,0,2.24,116.74,0,0
 60-70,0,0,0,0,0,0,20.96,0,0,0,32.32,0,167.52,0.86,0,0,0.7,5.23,0,344.06,0,7,0,444.59,0,0,25.96,0,8.72,0,0,38.42,0,12.1,141.85,0,0
 72-82,0,0,0,3.66,0.87,0,46.08,0,0,0,122.73,0,197.01,9.41,0,4.48,0,0,0,366.3,0,0,9.27,915.69,0,0.95,62.03,0,0.59,0.57,0,26.4,0,19.15,244.95,0,0
 84-94,0,0,0,20.59,0,0,59.4,0,0,0,92.09,1.58,201.28,0.67,0,1.57,0,0,0,433.25,0,19.29,0,717.56,0,0,76.78,0,0,0,0,34.8,0,7.91,229.47,0.89,0
 96-106,0,0,0,2.45,0,0,124.48,0,1.77,0,115.72,0,153.19,1.2,0,1.43,0,14.55,0,523.44,9.23,6.25,7.82,658.2,0,0,132.71,0,2,3.49,0,33.05,1.68,13.64,269.43,5.27,0
108-118,0,0,0,17.89,0,7.94,81.85,2.27,0,0,90.76,4.32,118.43,2.07,1.28,4.64,0,8.64,0,495.22,0,3.55,1.92,733.87,0.87,0,95.77,0,3.26,1.73,0,14.99,0,11.52,107.89,0.49,7.26
120,0,0,0,12.11,0,0,96.49,0,0,19.12,172.98,0,117.68,3.85,0,1.17,0,5.66,0,778.92,0,16.95,0,1284.82,0,0,147.87,0,8.57,5.22,0,44.16,0,38.32,317.25,0,0
