stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.21,19.15,1.26,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0.94,57.35,0,0,0.81,0,0,0.9,0,1.12,0,99.57,0,0,0,0,0
 24-34,0,0,1.97,0,1.4,0,1.73,0,1.4,0,0,0,0,0,0,0,0,0,21.48,0,0,1.57,473.84,0,6.54,1.98,0,1.04,0,0,0,0.64,221.24,0,0,0.64,0,0
 36-46,0,0,6.39,0,16.05,0,0,0,4.36,0,0,0,0,0,0,0.75,0,0,39.25,0,0,4.58,1364.3,0,3.8,0,0,1.16,0,0,0,0,165.21,0,0,2.27,0,0
 48-58,0,0,1.81,0,60.52,2.21,0,0.62,20.98,0,0,0,0,0,0,0.39,2.93,4.85,85.84,0,0,1.74,2280.67,5.71,1.74,2.42,0,4.65,0,0.73,0,0,107.95,0,0,8.38,0,6.84
 60-70,0,0,4.82,0.99,198.88,0,6.08,8.38,50.7,1.66,0.98,0,0,0,0,0,0,0,89.38,0,2.54,8.95,3838.27,0,2.45,1.21,0.66,15.58,0,0,0,0,188.78,0,0,0,1.15,0
 72-82,0,0,17.1,6.48,507.64,0,0,4.79,170.22,0,0,1.73,4.68,0.53,0,2.68,0,3.9,149.77,0,4.71,4.91,4383.62,0,4.46,10.62,0.87,0,0,0.68,0,0,120.21,1.01,0,6.46,6.26,11.9
 84-94,0,0,12.69,5.26,437.28,0,0,1.83,66.65,0.73,0,2.33,0,0.61,0,4.27,0.83,0,93.77,1.18,1.38,4.79,2803.01,0,0,12.97,0,4.03,0,0.62,0,0,141.23,3.58,0.98,0.57,2.02,0
 96-106,0,0,21.68,14.21,359.54,0,1.06,6.2,96.63,0,0,1.57,1,0,0,0,0,0,135.69,0,0,1.86,2370.16,0,4.66,14.12,3.32,2.33,0,0,0,0,76.63,1.13,4.06,10.07,3.44,10.7
108-118,0,1.03,21.6,11.84,564.12,0,0,0,120.65,0,0,0,1.28,1.34,5.15,0,2.84,0,152.63,0.54,0,5.26,3901.12,0.51,2.85,5.9,0,9.14,0,0.81,0.86,0,63.71,2.49,0,4.57,3.56,2.73
120,0,0,19.17,2.95,516.77,1.47,9.47,15.29,179.85,3.51,0,0,7.34,4.71,0,1.48,0,0,81.91,1.49,0,2.07,4438.44,0,0,14.45,0,0,0,0,0,0,84.75,0,0,0,0,0
