stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  5-6,24.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,15.24,0,0,0,0,0
 14-21,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,5.24,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,1.03,0,0,0,0
 36-46,0,0,0.57,0,0,0,0,0,0,0,40.22,0,0,0,0,0,0,0,10.53,0,0,0,0,0,0,0,1.6,0
 48-58,0,0,0,2.93,0,0,0,0.7,0,0,0.39,0,0,0,0,0,0,0,16.52,0,0,0,0,0,14.42,0,0.84,0
 60-70,0,11.34,0,1.67,0,0,1.69,0,0,0,92.27,5.24,0.85,0,3.23,0,4.4,0,19.55,0,0,6.95,0,0,0,0,1.21,0
 72-82,0,0,0,14.25,0,0,2.73,2.1,0,0.53,184.21,0,3.36,0,0,3.05,0,0.64,55.16,2.7,5.43,0.79,0,0.79,9.72,0,0,0
 84-94,0,16.01,0,4.24,0,0.55,0,3.04,0,0,500.15,0,7.06,0,1.47,0,0,0,14.09,0,13.4,1.3,0,0,62.21,0,1.47,3.7
 96-106,0,41.91,9.04,13.92,0,0,0.93,1.69,0.63,0,519.9,6.49,40.25,3.15,14.53,13.09,0,0,53.26,0,7.77,0.82,0,1.9,81.66,0,0,3.34
108-118,0,23.15,0,8.45,0.75,0,4.92,5.67,0.49,0.71,615.85,2.56,32.26,0,8.38,17.22,0,0,33.19,0,1.17,6.47,0,0.5,192.56,0,2.17,0
120,0,111.26,0,0,0,0,6.64,0,0,0,599.22,0,21.44,3.84,35.58,17.99,0,0,98.66,0,4.78,23.58,0,0,178.28,0,0,0
