stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
  5-6,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.32,0,0,0,0,19.68,0,0,6.64,20.93,1.16,8.54,0,0,0,1.83,0
 24-34,0,0,0.66,0,0,0,13.31,1.39,0,13.58,0,0,6.11,0,0,2.38,1.25,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.16,8.48,0,0,0,0,0
 48-58,0,0,0,0,0,1.13,0.63,0,0,0,0,0,5.36,0.95,0,0,1.17,0
 60-70,0,0,0,0,0,0,0,0,0.89,0,0,0,15.04,4.76,0,0,0,0
 72-82,0,0,0,0,2.86,0,0,0,0,0.55,0,0,4.7,0,2.02,1.53,0,1.86
 84-94,0,0.77,0,0,0,0,0,0,1,1.99,0,2.38,1.23,0,0,0,0,0
 96-106,0,0,0,6.8,8.54,0,0,0,0,1.3,0,0,0.83,0,0,0,0,0
108-118,0,0,0,16.66,0.77,0,0,0,4.97,4.5,0,0,1.16,0,0,0.54,0,2.22
120,0,0,0,3.78,0,0,0,3.07,0,0,0,0,0,0,0,1.64,0,0
