stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.95,36.37,6.12,15.69,0,0,13.53,0.98,0,0,0,0,0,0,20.82,0,0,18.51,272.64,4.12,0,0.82,4.55,0,0,1.8,17.38,2.65,6.4,11.86,88.2,0,0,1.06,0,0
 24-34,0,0.59,6.55,0,51.29,1.53,0,6.57,3.03,0,0,1.36,0,0,0,40.87,0,0,12.89,389.6,1.62,4.49,4.92,0,0,12.54,0,0,0,0,6.73,61.21,0,0,11.18,0,1.91
 36-46,0,0,16.88,0,48.66,0,0,23.09,0.58,0.63,1.4,0,0,0,0,23.32,0,0,3.62,221.26,0.97,5.34,2.49,0,0,4.3,0,0,0,0,0,45.26,0,0,2.21,0,0
 48-58,0,0,7.59,0,64.12,0.41,0,26.2,0.55,0,8.15,0.4,0.46,0,0.5,43.33,2.25,0.84,1.46,259.42,0,1.06,4.4,0,0,3.77,0,0,0,0,0,46.62,0,0,4.61,0,0
 60-70,0,0,7.55,0,80.6,0,0,17.3,6.43,0,0,0,0.84,0,0,12.15,0,10.04,5.1,160.52,0,0,3.8,0,0,1.22,0,0,0.6,0,0,11.64,0,0,8.41,0,0
 72-82,0,0,7.76,0,73.24,0,0,37.57,0,0.84,0,2.32,0.61,0,0,41.01,1,4.27,9.28,154.31,0,2.26,2.07,0,0,1.46,0,0,0,0,0,36.74,0,0,6.95,3.41,3.77
 84-94,0,1,7.38,0,59.66,0.57,0.87,12.72,1.81,1.45,0,0,1.43,0,0,25.41,0,0.55,3.06,81.2,0,2.36,1.54,0,0,5.29,0,0,0,0,0,4.16,0,0.88,0,0,3.36
 96-106,0,0,1.81,0,25.89,0.84,4.15,26.59,1.38,0.61,3.31,0,0,1.03,0,31.74,0,2.57,1.88,71.74,0.62,3.58,1.81,0,1.17,6.01,0,0,0,0,0,8.27,2.67,0.77,2.97,1.59,0
108-118,0,0,9.78,0,28.96,0,0.6,28.57,1.3,0.43,0.42,0,1.29,3.03,0,41.15,0,0.46,6.75,129.42,3.64,2.03,1.38,0,0.76,13.72,0,0,0.62,0,0,8.51,1.7,1.11,7.24,0,0
120,1.37,0,4.93,3.03,43.84,1.25,1.26,97.21,0,0,2.8,2.02,0,5.55,0,50.65,0,1.83,10.68,131.49,1.62,9.51,0,0,0,11.33,0,0,0,0,0,4.36,0,0,43.46,0,0
