stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,hatching_gland,heart,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,45.18,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.09,0,0,0,0,0,8.06,0,0,0,89.57,0,9.09,0,0,0,0
 10-12,0,0,0,0,3.25,0,0,12.34,0,0,0,138.55,0,19.96,0,3.24,0,0
 14-21,0,0,0.91,1.05,0,0,0,0,0,0,0.93,3.6,0,0,1.01,0,3.75,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.02,1.43,0,0,0,0,0,2.25,0
 48-58,0,0,0.39,0,0,0.65,0,0,0,0,0,10.2,0.44,0,0,0,0,0
 60-70,0,0,5.24,0,0,0,1.31,0,0,0.6,0,0,0,0,0,0,0,0
 72-82,0,0,0.81,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0
 84-94,0,0,0,0,3.05,0,0,0,0,0.89,0,0,0,0,0,0,0,1.08
 96-106,0,0,2.18,0,1.08,0,0,0,0,0,0,2.13,0,0,0,0,0,0
108-118,0,0,0.96,0,0,0,0,0,0.47,0,0.57,0,0,0,0.75,0,0,0
