stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vasculature
  3-4,38.24,86.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,100.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.96,0,5.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,6.03,0,0,0,0
 14-21,0,0,0.81,0,2.07,0,0,0,0,0,0.9,0,0,0,0,45.23,0,0,0,0,1.58,15.81,0,0
 24-34,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,58.12,0,0,3.14,0,0,47.02,0,0.98
 36-46,0,0,0,0,2.74,0,0,0,0,0,0,1.96,0,0,0,48.64,1.67,0,0,0,0,55.53,0,0
 48-58,0,0,0.67,0,1.39,0,1.04,0,0,0,0,0.5,0,1.66,0.77,20.17,0,0,0,0,0,23.02,0,0
 60-70,0,0,0.59,0,8.04,0,0.81,0,0,0,0,3.4,3.37,0,1.18,52.47,0,0,0,0,0,6.86,0,0
 72-82,0,0,0.96,0,4.31,0.5,0,0.72,0.57,0,0,2.56,0,0,0.95,56.82,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.68,0,0,0,6.43,0,0,0,32.7,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.91,0,0,0,0,1.74,0,2.43,0,0,0,42.33,0,0,1.73,0,0,0,0,0
108-118,0,0,0,0.84,2.53,0,0,6.12,0.43,0,0,0.73,0,0,0,30.23,0,0,0,0,0,0.47,0.68,0
120,0,0,0,0,7.36,0,0,26.21,0,0,0,0,0,0,0,44.67,0,0,0,0,0,0,0,0
