stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0
 14-21,0,0.91,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,8.99,0
 24-34,0,0,0,0,1.42,0,0,0,6.32,0,0,1.19,1.48,49.85,0,0,0,0,73.9,0
 36-46,0,0,0.66,0,3.41,0,0,0,0,0,0,2.95,1.12,79.09,0,0,0,0,113.64,0
 48-58,0,0,0,0,5,0.74,0,0,0,0,0,2.85,1.17,74.32,0,0,0.63,0,109.49,0
 60-70,0,0,0,0,18.54,0,0,0,0,0,0,0,0,161.14,0,0,0,0,152.16,0
 72-82,0,0,0,0,106.79,0,3.22,0.56,0,0,0,3.58,0,163.93,0,0,0,0,64.78,0
 84-94,0,0,3.61,0.75,113.85,0,3.53,0,0,6.99,0,1.99,0,135.13,0,0,0,0,50.13,0
 96-106,0,0,0.88,0.6,82.79,0,8.79,0,0,1.9,9.12,2.93,0,132,0,0,0,0.82,20.54,0
108-118,0,0,2.23,0,96.73,0,12.3,0,1.89,0.65,0,2.96,0,159.96,0,0,0,3.29,20.56,7.81
120,0,0,5.57,0,188,0,8.41,0,0,16.73,0,8.58,0,427.43,1.02,0,0,0,34.98,0
