stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,469.31,9060.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.31,0,0,0,0,0,0,0,0,0
  5-6,2028.55,21082.16,0,71.21,0,0,0,0,0,0,0,0,0,53.92,0,0,0,0,0,0,0,0,0,0,0,974.63,36.2,0,0,166.75,326.19,0,0,0,0,0,0,0,0,0
  7-9,435.65,883.98,0,1682.61,0,14.87,0,3189.34,0,0,0,0,0,1141.69,0,0,0,0,0,0,0,0,0,0,0,31123.45,663.35,0,0,11946.52,40.51,206.93,0,0,0,0,0,0,0,0
 10-12,0,600.79,0,551.45,0,115.8,0,1495.83,0,0,0,0,0,125.72,0,0,0,0,0,0,0,0,0,0,0,13004.42,210.8,0,0,4777.89,7.12,57.03,18.5,413.78,0,10.97,0,0,0,0
 14-21,0,0,1.05,6.21,71.89,21.84,0,61.32,0,0,0,22.38,1.4,0,1.01,0,0.96,0,0,0,0,46.72,0,0,35.36,986.85,33.12,10.12,3.89,12.27,9.22,0,74.75,1.84,46.84,257.48,0,3.03,0,0
 24-34,0,0,0,5.26,54.56,20.82,0,443.2,0,0,1.44,58.45,1.88,0,2.68,0.82,0,2.91,2.99,2.12,1.94,277.86,0.74,1.7,76.93,3331.98,8.54,17.84,21.81,0,29.2,0,1.12,2.71,19.45,706.32,0,31.2,0,2.45
 36-46,0,0,0,0,44.45,27.9,0,1623.51,0,0,0,60.06,0.68,0,0,4.76,0,6.14,1.91,4.99,6.55,275.56,0,11.67,72.07,3155.78,1.27,11.01,13.1,0,18.96,0,1.39,2.92,0,596.77,0,22.21,0,1.72
 48-58,0,0,0,0.83,39.58,14.64,0,1486.2,1.16,8.33,0.99,55.27,2.96,0,2.69,1.52,0.55,5.25,0.37,1.08,1.66,234.33,0,12.19,39.45,1115.48,0,2.65,18.49,0,5.15,0,0,0,0,127.62,0,16.4,0,7.92
 60-70,0.81,0,0,0,71.44,6.73,0,1514.52,0,2.25,0,90.19,8.74,0,2.77,6.66,0,1.78,6.74,0,0,240.37,0,20.1,43.26,730.72,0,3.98,2.58,0,8.2,0,0,0,0,53.23,0,18.97,0,8.19
 72-82,0,0,0,0,9.63,0,0,302.48,0,0,1.24,39.23,2.03,0,0,1.02,1.25,0.72,0,0.79,0,117.89,0,2.27,20.3,240.13,0,2.52,4.06,0,1.03,0,0,0.75,0,4.06,0.67,9.75,0,0
 84-94,0,0,0,0,24.84,6.41,0.93,336.2,0,0,1.01,45.76,11.75,0,0,4.45,1,0.88,1.93,0,0,184.23,0,12.81,33.21,336.96,1.16,0.86,1.94,0,1.62,0,0,1.13,0,8.89,2.82,27.85,0,9.51
 96-106,0,0,0,0,13.26,4.66,0,159.18,0,0,1.71,53.97,4.52,0,1.36,2.58,0.94,0.92,0.96,0,0,64.93,0,4.3,10.26,140.71,0,2.28,1.77,0,1.33,0,0,1.33,0,0.84,1.82,12.52,0.74,0
108-118,0,0,0,0,12.94,8.06,0,178.42,0,0,0.83,40.26,3.82,0,0,9.88,0.88,0.9,0.78,1.13,0,27.09,0,5.96,17.82,189.21,0.61,1,1.38,0,1.34,0,0,0,0,1.48,0.51,15.74,0,6.64
120,0,0,0,0,13.72,13.23,0,220.51,0,0,0,38.31,0,0,5.18,8.43,2.02,0,0,6.31,0,36.84,0,4.71,20.35,315.75,0,2.15,1.84,0,1.68,0,0,0,0,0,0,12.78,0,0
