stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,26.73,0,0,4.25,0,7.9,0,0,0,0,0
 14-21,0,1.95,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,1.01,0.88,0,0
 24-34,0,0,0,1.09,0,0,0,0,0,0,0,0,7,1.28,0,0,0,0,0,0.67,3.69,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.72,1.79,5.74,0,0.69,0,0,0,0,0,2.04,0,0
 48-58,0,0,0,0,0,0.47,0,0.37,0,0.52,0,0,1.22,0,0,0,0,0,0,0,0,0,3.64
 60-70,0,1.01,0,0,0,0,1.06,0,0.61,0.78,0,0,12.26,0,0,0,0,0,1.49,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.53,0,1.31,0,0,0.72,0,0,0,2.46,0,0,0,0,0,1.1
 84-94,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0
 96-106,0,0,0,0,0,0,0,0,0,1.53,0,0.87,1.04,0,0,0,0.74,0,0,0,0,0,0
108-118,0,4.54,1.35,0.5,0,3.39,0,0,0,1.79,0,0,8.18,0,0,0,0.98,0,0,0,0,0,0.51
120,0,8.46,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,2.32,1.79,0,0,0,2.96,0
