stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,21.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.43,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,3.12,0,0,3.53,0,0,0,0,0,0
 14-21,0,0,0,1.78,205.66,0.82,0,0,0,0,0,8.62,0,0.97,0,0,0,0,0,13.26,0,0,0,0,0,2.28,0,0.81,0,0,226.55,0,0
 24-34,0,0,0,0,48.74,0,0,0,0,1.06,0,60,0,0,0,0.7,0,0,0,38.47,0,1.06,0,0,0,0,0,0,3.88,0,1408.52,0,0
 36-46,0,0,0,12.6,3.32,3.46,0,0,0,0,0,39.04,0,0,0,0,0,2.11,0.73,72.81,0,0,0,0,0,1.3,0,0,1.18,0,981.02,0,0
 48-58,0,0,0,0,4.56,15.25,0,0,0,0.55,0,40.55,0,0,0,0,0,4.48,1.76,39.77,0.96,0,0,0,0,0,0,0,5.93,0,904.51,0,0.74
 60-70,0,0,0,0,10.5,6.53,0,0.69,0,3.41,0,44.19,0,0,0,0,0,1.02,1.46,35.57,0.66,0.73,0,0,0,0,4.15,0,1.85,0,607.74,0,0
 72-82,0,0,0,0,0,31.86,0,0,0,0,0,47.63,0.59,0,0,0,0,7.66,0,16.59,0,1.22,0.54,0,0,0,0.84,0,1.03,0.61,738.51,0,0
 84-94,0,0,0,0.7,0,31.27,0,0,0,0,0,23.76,0,0,0,0,0,2.39,0,8.85,0,0,0,0,0,0,0,0,0,0,816.4,0,0
 96-106,0,0,0,0,0,76.38,6.3,0.69,2.67,0,0,62.19,2.31,0,0,0,0.66,6.98,0,21.22,0,0.59,0.71,0,0,0,1.91,0,0,0,1068.33,1.96,0
108-118,0.67,0,0,0,0,82.11,0,3.35,0,3.92,0,39.64,3.15,0,3.6,0.56,0,12.05,0,9.2,0,0,0,0,0,0,3.92,0,1.02,0,890.09,1.05,5.45
120,0,0,0,0,0,62.98,0,0,0,0,5.2,37.07,1.85,0,0,0,0,2.37,0,63.63,1.24,0,0,0,9.36,0,0,0,0,0,813.52,0,0
