stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.81,37.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.44,57.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.53,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.97,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.21,3.54,0,4.88,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0.96,0,0,0.92,0,0,1.07,0.9,0,0,2.76,0,0
 24-34,0,0,0,0,0.76,0.87,0,0,0.62,1.45,0,0,0,4.43,0,1.17,0,0,0,4.7,0,3.57,13.32,0,0,1.77,0,0,37.65,0,0.63,0,0,4.71,0,0,1.61,0,0
 36-46,0,0,0,0,2.04,0,0,4.55,0,0.89,9.7,0.88,0,4.36,0,0,0.61,0,0,12.8,0,0.73,12.5,0,0,0,0,0,110.94,0,0,0,0,3.85,0,0,0.84,0,0
 48-58,0,0,0,0,11.68,0,0,6.54,0,1.36,0.42,0.75,0,0.67,0,0,6.52,0,1.7,17.96,0,0.47,20.51,0,0,0,0,0,70.26,0,0,0,0,6.72,0,0,0.39,0,0.67
 60-70,0,0,0,0,18.93,0,0,8.8,0,6.01,13.27,1.95,0,0,0,0,6.28,0,0,46.89,0.74,0,21.45,0,1.43,4.12,0,0,62.3,0,3.95,0,0,4.13,0,0,0,0,0
 72-82,0,0,0,0,25.93,0,0,27.37,0,5.98,8.67,4.87,0,0,0.6,0,0,0.84,0,41.6,0,4.66,16.49,0,0.58,4.65,0,0,35.43,0,2.5,0,0,0,1.34,0,0.94,1.14,0
 84-94,0,0,0,0,25.51,0,1.09,23.52,0,14.17,5.98,2.97,1.01,1.06,1.13,0,2.3,0,0,36.61,0.71,0,3.44,0,0,0.9,0,0,64.62,0,18.23,0,0,0,0,0.63,0,0,0
 96-106,0,0,1.36,0,40.22,9.45,0,14.9,0,9.52,4.28,21.96,0.64,0,0,3.2,0.91,0,0,42.99,0.79,1.12,15.29,0,3.63,0,0,0,62.01,0,33.8,0.6,0,0,0,1.5,4.97,3.61,0.62
108-118,0,0,0,0.44,43.32,2.42,7.09,37.81,0.7,24.01,0,0,3.18,0.63,1.38,0,4.33,0,0,59.77,1,0.48,15.77,0,0,1.05,0,3.72,35.26,0,37.64,0,0,0,0,0.81,1.8,1.2,0
120,0,0,0,0,30.76,0,1.71,36.03,4.78,2.36,0,10.33,3.66,0,0,0,0,0,0,53.45,0,9.59,10.29,1.55,0,1.34,0,0,41.4,0,31.73,0,0,0,0,0,0,0,0
